,TF Feature Name,TF Common Name,Number of Hits,Total Sum of Scores,Avg. Score per Hit,List of Scores,Medline,TF Description
S000002157,YBR089C-A,NHP6B,440.0,1295.01268776,2.943210654,"[0.0024311254, 0.0063514556, 0.0091715902, 0.018050047, 0.01847575, 0.027642779, 0.036374215, 0.049636304, 0.059188254, 0.063287467, 0.070366278, 0.072305195, 0.085826576, 0.10824098, 0.12314963, 0.12842381, 0.13135971, 0.13321993, 0.14075363, 0.15244099, 0.15690701, 0.16053186, 0.16877499, 0.17415836, 0.20182431, 0.20361172, 0.20471972, 0.229349, 0.24915737, 0.25248668, 0.25637448, 0.27131897, 0.28563279, 0.29193407, 0.32069263, 0.32384512, 0.3337279, 0.33589068, 0.34962898, 0.34989968, 0.35368139, 0.36481336, 0.3834323, 0.39147431, 0.4037632, 0.41754761, 0.42320979, 0.43060866, 0.44690695, 0.44823137, 0.4485116, 0.45418048, 0.50916553, 0.50943089, 0.52015299, 0.52524132, 0.5361039, 0.55027628, 0.57208747, 0.58722919, 0.60454464, 0.61457837, 0.62621951, 0.64217669, 0.64306277, 0.65188283, 0.67691582, 0.68883944, 0.68885911, 0.69191647, 0.72460192, 0.73129165, 0.7361114, 0.7541095, 0.76803899, 0.77499092, 0.80412519, 0.80481827, 0.80539727, 0.81797504, 0.81934553, 0.82038373, 0.83629793, 0.83775294, 0.85459536, 0.87553668, 0.90580273, 0.91129827, 0.91484576, 0.93134147, 0.93216628, 0.94222385, 0.95006156, 0.95611811, 0.96580362, 0.968014, 0.97432464, 0.98477054, 0.99064702, 0.99188465, 0.9961198, 1.0287664, 1.0397561, 1.0400759, 1.0422521, 1.0770096, 1.0886548, 1.0978526, 1.0984718, 1.1328763, 1.1457615, 1.152348, 1.1637721, 1.1752137, 1.1811377, 1.1942087, 1.2183409, 1.2217308, 1.2341466, 1.2542977, 1.2599806, 1.2644248, 1.2969532, 1.3216504, 1.3307804, 1.3351985, 1.3377531, 1.3473885, 1.3543842, 1.3893378, 1.4068798, 1.4102961, 1.4233314, 1.4267737, 1.4348074, 1.4462546, 1.4910017, 1.5030006, 1.5373896, 1.5463051, 1.5487119, 1.5517457, 1.5672629, 1.5915315, 1.6011072, 1.6342186, 1.6541871, 1.6607436, 1.6836965, 1.684224, 1.6981474, 1.7414179, 1.7542806, 1.7834432, 1.8465737, 1.8490601, 1.8627716, 1.886906, 1.8870739, 1.9036659, 1.9063236, 1.922049, 1.9435443, 1.9646443, 1.9652047, 1.9663614, 1.9693999, 1.9699104, 1.971241, 1.9768829, 1.9818243, 1.985833, 1.9879018, 1.9984949, 2.0090387, 2.0147347, 2.0259323, 2.0457263, 2.0502069, 2.0569882, 2.0597341, 2.0598307, 2.0880189, 2.093508, 2.0938666, 2.0993276, 2.1112385, 2.1483953, 2.1492338, 2.1658916, 2.1662674, 2.1895211, 2.1964967, 2.2007675, 2.2036986, 2.2038896, 2.2090957, 2.2365639, 2.2504961, 2.2570753, 2.2684345, 2.2814538, 2.2888761, 2.3048809, 2.3123794, 2.3150268, 2.3498502, 2.4328408, 2.4562769, 2.4600763, 2.4618495, 2.4704175, 2.4838531, 2.4882367, 2.4959753, 2.5078981, 2.5087297, 2.5234854, 2.5298188, 2.5306954, 2.5397966, 2.552146, 2.5588791, 2.5730183, 2.6140466, 2.6141546, 2.6332922, 2.6409237, 2.6435091, 2.6471176, 2.652638, 2.680192, 2.6879895, 2.7081041, 2.7141974, 2.7561035, 2.7742805, 2.792424, 2.7972398, 2.8006756, 2.8029895, 2.8164136, 2.8179953, 2.8487532, 2.8694777, 2.8711579, 2.8798456, 2.8831406, 2.8884461, 2.8995392, 2.9008934, 2.914885, 2.9220529, 2.9388068, 2.9438887, 2.9522576, 2.9687438, 2.9778011, 2.9877889, 3.0310915, 3.0440996, 3.0513616, 3.0561187, 3.0604188, 3.0718422, 3.0865388, 3.0899994, 3.0916831, 3.1409631, 3.1507013, 3.1547425, 3.1695526, 3.1866453, 3.2029805, 3.2094128, 3.2153378, 3.2242157, 3.2505434, 3.2532883, 3.2697723, 3.2864487, 3.3060417, 3.3090498, 3.3417413, 3.3480713, 3.3517094, 3.3715336, 3.3748984, 3.3919258, 3.4381132, 3.4602332, 3.4627728, 3.4675653, 3.4767249, 3.4824522, 3.5008409, 3.5671973, 3.6100996, 3.630908, 3.6528323, 3.6756587, 3.6980696, 3.7255297, 3.7461848, 3.7611756, 3.7661476, 3.7910028, 3.8324165, 3.8500376, 3.8883693, 3.8891101, 3.9000096, 3.9073534, 3.9946456, 4.0124259, 4.0439153, 4.0443211, 4.0580349, 4.0640755, 4.1112108, 4.1191773, 4.1314325, 4.139801, 4.1642327, 4.1754069, 4.179594, 4.1958618, 4.2058921, 4.2193995, 4.2390189, 4.2392888, 4.2582045, 4.2629795, 4.2691498, 4.2791963, 4.3124714, 4.3522377, 4.3669529, 4.3679814, 4.4170871, 4.4188027, 4.4272738, 4.4398956, 4.5037246, 4.5091329, 4.5183163, 4.5485535, 4.5971866, 4.6046538, 4.607235, 4.6337295, 4.6699176, 4.6710467, 4.702343, 4.7067461, 4.713336, 4.7290201, 4.7562814, 4.7567611, 4.7696495, 4.7979293, 4.8002768, 4.8520226, 4.9199224, 4.9235997, 4.9301872, 4.947844, 4.9909863, 5.0264168, 5.0292277, 5.0411263, 5.0476613, 5.0573339, 5.1357331, 5.1907101, 5.1908464, 5.1940598, 5.1990442, 5.2164593, 5.2379503, 5.2400789, 5.3011603, 5.3701253, 5.4964786, 5.5724268, 5.5962105, 5.6121721, 5.6558075, 5.8165689, 5.8799829, 5.8823652, 5.9074755, 5.9817061, 6.0016952, 6.027617, 6.0433755, 6.1536584, 6.2272954, 6.249269, 6.2587042, 6.286778, 6.3132482, 6.3819857, 6.4042559, 6.5009031, 6.5746479, 6.5840821, 6.6884851, 6.695478, 6.6966038, 6.7855287, 6.7937188, 6.8806829, 6.8965712, 6.9716272, 7.0192432, 7.0630298, 7.0842915, 7.0931659, 7.2498751, 7.2729259, 7.2770219, 7.3808899, 7.4598393, 7.5228677, 7.6456571, 7.7246222, 7.7804151, 7.9533477, 8.2965107, 8.4842758, 8.6482325, 9.4702196, 10.003654, 10.489578, 10.880014, 10.918604, 11.296474, 11.296829, 12.345706]",www.pubmed.com/18842628,"High-mobility group (HMG) protein; binds to and remodels nucleosomes; involved in recruiting FACT and other chromatin remodelling complexes to the chromosomes; functionally redundant with Nhp6Ap; required for transcriptional initiation fidelity of some tRNA genes; homologous to mammalian HMGB1 and HMGB2; NHP6B has a paralog, NHP6A, that arose from the whole genome duplication"
S000006256,YPR052C,NHP6A,250.0,683.886248384,2.73554499353,"[0.062413383, 0.065681763, 0.071946539, 0.074417926, 0.07989765, 0.088036634, 0.099212252, 0.11076161, 0.12333223, 0.12529834, 0.14640133, 0.16351278, 0.17820707, 0.17925021, 0.18107958, 0.18551606, 0.19111079, 0.21523541, 0.2185951, 0.22020631, 0.23405094, 0.29522428, 0.30149761, 0.30670014, 0.31314772, 0.32201141, 0.33698013, 0.34362739, 0.36591735, 0.36995283, 0.38626444, 0.388661, 0.42725351, 0.43097928, 0.43897456, 0.50393713, 0.52254027, 0.5283078, 0.55743879, 0.56907272, 0.57757819, 0.58861703, 0.59580821, 0.59796655, 0.61750495, 0.64883381, 0.66382694, 0.66624689, 0.6775707, 0.68203086, 0.68469101, 0.69857484, 0.70901674, 0.72895783, 0.728971, 0.73125154, 0.7349999, 0.77599347, 0.82202548, 0.85563374, 0.87128443, 0.88326192, 0.88359708, 0.88967115, 1.0392828, 1.0724345, 1.088397, 1.1085296, 1.1205232, 1.1590668, 1.1612078, 1.1913204, 1.2127551, 1.2451886, 1.2557955, 1.2691801, 1.2923784, 1.2947781, 1.311602, 1.3120227, 1.3289088, 1.3405747, 1.3465354, 1.3472041, 1.3490099, 1.3676301, 1.3811414, 1.3873023, 1.3952327, 1.4180617, 1.4365532, 1.442557, 1.4440652, 1.4503857, 1.4730325, 1.4825864, 1.4879733, 1.4898769, 1.5065323, 1.5067449, 1.5213317, 1.5298487, 1.5300773, 1.5502177, 1.5581192, 1.5654674, 1.5759615, 1.5999582, 1.629245, 1.6739324, 1.7099755, 1.7266499, 1.7705225, 1.7948848, 1.8587437, 1.8649098, 1.8832494, 1.91398, 1.9365309, 1.9391927, 1.9544954, 1.9591088, 1.9694543, 1.9743235, 1.9751279, 1.9874967, 2.0193789, 2.0525076, 2.0765059, 2.1051979, 2.1119914, 2.1209021, 2.1371937, 2.1686883, 2.2217486, 2.2802427, 2.2877576, 2.2883668, 2.3257062, 2.3455379, 2.3485699, 2.37731, 2.3793552, 2.4049821, 2.4124389, 2.4638391, 2.5046041, 2.5114839, 2.5363173, 2.5760002, 2.6186206, 2.6228268, 2.6290777, 2.6396618, 2.6979969, 2.7300224, 2.7386963, 2.7919641, 2.8021092, 2.8032045, 2.8064251, 2.9706633, 3.0037117, 3.0305336, 3.0654011, 3.0866575, 3.0964389, 3.1378329, 3.1588933, 3.1634603, 3.1742134, 3.1772656, 3.2140341, 3.2405164, 3.243202, 3.254293, 3.3743367, 3.3876615, 3.4417093, 3.5559683, 3.6015532, 3.6262784, 3.6526971, 3.6710222, 3.6812432, 3.7332859, 3.7550035, 3.7595649, 3.7930059, 3.8249116, 3.8341155, 3.8364468, 3.8461821, 3.930233, 3.9691837, 4.0403614, 4.0800719, 4.1553936, 4.1925635, 4.2173018, 4.2849159, 4.3454976, 4.4421349, 4.5184064, 4.5462627, 4.5478549, 4.5814619, 4.6176314, 4.6197772, 4.6736102, 4.6885033, 4.7509766, 4.7555885, 4.7618122, 4.8956738, 4.9150653, 4.9187865, 5.0478845, 5.079464, 5.0980287, 5.1841455, 5.2924838, 5.3340077, 5.3688016, 5.7632799, 5.8123507, 5.8215213, 5.9445148, 5.9460235, 6.0111485, 6.1950588, 6.2938375, 6.379045, 6.6745234, 6.9415755, 6.9618907, 7.3932495, 7.5829453, 7.7012916, 8.3399744, 8.9991465, 9.218235, 9.427742, 10.446778, 10.813886, 11.619715, 14.195959, 14.353187, 14.368305, 14.992104]",www.pubmed.com/18842628,"High-mobility group (HMG) protein; binds to and remodels nucleosomes; involved in recruiting FACT and other chromatin remodelling complexes to chromosomes; functionally redundant with Nhp6Bp; required for transcriptional initiation fidelity of some tRNA genes; homologous to mammalian HMGB1 and HMGB2; NHP6A has a paralog, NHP6B, that arose from the whole genome duplication; protein abundance increases in response to DNA replication stress"
S000000386,YBR182C,SMP1,210.0,542.627435278,2.58394016799,"[0.027116105, 0.034070607, 0.038535904, 0.055980127, 0.058564253, 0.10263152, 0.13236846, 0.13464862, 0.13973263, 0.1434761, 0.16812705, 0.1821932, 0.18486236, 0.1852347, 0.18901061, 0.19408771, 0.20101309, 0.20160024, 0.21317244, 0.21354449, 0.21523683, 0.21682817, 0.28178552, 0.2939454, 0.36232576, 0.38345072, 0.43051711, 0.44085678, 0.4434365, 0.47607145, 0.48366988, 0.48686439, 0.51532912, 0.52923965, 0.52923965, 0.55937982, 0.60047948, 0.63386917, 0.64313287, 0.67299008, 0.68910414, 0.6902768, 0.69063807, 0.71547604, 0.77586699, 0.80726719, 0.83193702, 0.83562827, 0.85069156, 0.85263115, 0.85751337, 0.86194819, 0.90597618, 0.91233534, 0.99964529, 1.0255247, 1.0627793, 1.0774918, 1.1030561, 1.1063606, 1.1092874, 1.1239955, 1.1243502, 1.1278688, 1.1410372, 1.1420393, 1.1433207, 1.1581461, 1.2168288, 1.2338014, 1.2464446, 1.3195404, 1.338153, 1.3601631, 1.3931369, 1.3941027, 1.4073588, 1.4189491, 1.424612, 1.4806912, 1.5064334, 1.5206845, 1.5371462, 1.5894657, 1.5897334, 1.6644118, 1.6850873, 1.7020206, 1.7343895, 1.7757856, 1.801952, 1.8122483, 1.8203418, 1.8243942, 1.8362215, 1.8679173, 1.9406978, 1.9973376, 2.0109742, 2.028769, 2.1205041, 2.1235178, 2.1304002, 2.1520789, 2.1580486, 2.158756, 2.1626515, 2.20561, 2.2415788, 2.2451313, 2.2603774, 2.290509, 2.2955396, 2.3402762, 2.3737457, 2.3759601, 2.3867619, 2.3904114, 2.4592299, 2.4655252, 2.4754875, 2.5216484, 2.5572829, 2.588392, 2.5942552, 2.6306455, 2.785706, 2.7896445, 2.8411779, 2.8526096, 2.9237621, 2.9836111, 3.0116768, 3.059603, 3.0618429, 3.0641103, 3.1316276, 3.165108, 3.1724665, 3.1840956, 3.2824852, 3.2839985, 3.2904122, 3.4256496, 3.4820178, 3.4949291, 3.5267847, 3.5276296, 3.5779412, 3.6178186, 3.665031, 3.7514887, 3.7744451, 3.7771943, 3.7871509, 3.8003411, 3.8894105, 3.9162238, 3.9262321, 3.9344261, 4.0353541, 4.0424604, 4.0562468, 4.0701799, 4.0783677, 4.0898347, 4.1241899, 4.1759963, 4.1803741, 4.2224545, 4.2362084, 4.2516451, 4.2589903, 4.3144226, 4.3904719, 4.4551172, 4.477653, 4.5477557, 4.549746, 4.5645709, 4.6452661, 4.759367, 4.7817545, 4.8073988, 4.9295564, 5.0373859, 5.1100922, 5.3069334, 5.3349853, 5.3871388, 5.4618931, 5.5240779, 5.5619264, 5.9349842, 6.1775327, 6.1837134, 6.1950259, 6.5373254, 6.5983, 6.7148371, 6.7362194, 7.3008609, 7.3250666, 7.4245243, 7.5613847, 8.047431, 8.2757998, 9.0972328, 9.4297724, 9.654027]",www.pubmed.com/18842628,"MADS-box transcription factor involved in osmotic stress response; SMP1 has a paralog, RLM1, that arose from the whole genome duplication"
S000002264,YDL106C,PHO2,86.0,419.864461422,4.88214490026,"[0.54377317, 0.54377317, 1.3115997, 1.3115997, 1.659523, 1.659523, 1.659523, 1.659523, 2.2869978, 2.2869978, 2.2869978, 2.6349211, 2.6349211, 2.9013252, 2.9013252, 3.2442129, 3.2492485, 3.4027476, 3.4027476, 3.4027476, 3.5921361, 3.6691518, 3.7661657, 4.0120397, 4.0120397, 4.0170751, 4.0170751, 4.0170751, 4.3599629, 4.3599629, 4.3599629, 4.3599629, 4.3599629, 4.3599629, 4.3599629, 4.3599629, 4.3599629, 4.3599629, 4.3599629, 4.3599629, 4.3599629, 4.3599629, 4.3599629, 4.3599629, 4.3599629, 4.6445498, 4.6445498, 4.9924731, 5.1614671, 5.335361, 5.4123764, 5.4123764, 5.5093904, 5.7552643, 5.7552643, 5.7602997, 5.7757945, 5.9292936, 6.1186819, 6.1186819, 6.1186819, 6.1186819, 6.1186819, 6.1186819, 6.1237178, 6.1237178, 6.1237178, 6.2772169, 6.4666052, 6.8865085, 6.8915443, 6.8915443, 7.2344317, 7.2344317, 7.2344317, 7.2344317, 7.5190191, 7.5190191, 7.8619065, 7.8669424, 8.2098303, 8.2868452, 8.6297331, 8.6297331, 8.6347685, 8.9776564]",www.pubmed.com/19111667,Homeobox transcription factor; regulatory targets include genes involved in phosphate metabolism; binds cooperatively with Pho4p to the PHO5 promoter; phosphorylation of Pho2p facilitates interaction with Pho4p; relocalizes to the cytosol in response to hypoxia
S000004395,YLR403W,SFP1,89.0,288.405206399,3.24050793707,"[0.020296263, 0.13088669, 0.16251779, 0.21233116, 0.24900001, 0.28367129, 0.35487413, 0.37318599, 0.39722317, 0.44533336, 0.51054251, 0.56460792, 0.64641243, 0.64682209, 0.74229914, 0.7579124, 0.76510227, 0.76815087, 0.77198273, 0.8457495, 0.86170393, 0.87624764, 0.93623561, 0.94244719, 0.97662711, 0.99933749, 1.0068427, 1.1394645, 1.1650107, 1.1737643, 1.2132325, 1.2355081, 1.2413006, 1.2445054, 1.3441076, 1.4843037, 1.5361769, 1.5722129, 1.6129524, 1.6859472, 1.7147382, 1.9419998, 2.0060802, 2.2335489, 2.3730545, 2.5152299, 2.5778866, 2.6271734, 2.639539, 2.6450317, 2.8263369, 2.9166379, 2.9890566, 3.1867287, 3.2658224, 3.4919286, 3.8534117, 4.0313177, 4.0326223, 4.1993704, 4.3837519, 4.4173279, 4.4731135, 4.6956558, 5.1823735, 5.2284613, 5.3120413, 5.3716917, 5.3826861, 5.5038209, 5.6609011, 5.7776947, 6.0309634, 6.1295033, 6.2652168, 6.2880182, 6.4440656, 6.6361551, 6.7730761, 7.5548306, 7.565876, 7.6015239, 7.9307656, 9.2735481, 9.4203053, 9.731987, 9.836628, 10.24737, 11.321508]",www.pubmed.com/18842628,"Regulates transcription of ribosomal protein and biogenesis genes; regulates response to nutrients and stress, G2/M transitions during mitotic cell cycle and DNA-damage response, and modulates cell size; regulated by TORC1 and Mrs6p; sequence of zinc finger, ChIP localization data, and protein-binding microarray (PBM) data, and computational analyses suggest it binds DNA directly at highly active RP genes and indirectly through Rap1p at others; can form the [ISP+] prion"
S000005666,YOR140W,SFL1,102.0,284.801363728,2.79217023263,"[0.0069831675, 0.11872102, 0.15053025, 0.16098408, 0.18060546, 0.25988284, 0.33429816, 0.35558018, 0.36426964, 0.39776611, 0.39837265, 0.42782894, 0.49409148, 0.49832553, 0.49837106, 0.4995088, 0.57748896, 0.60243315, 0.62235785, 0.64927614, 0.65449375, 0.66580224, 0.67347372, 0.71192527, 0.71623552, 0.73147374, 0.84680808, 0.89365602, 0.97005886, 0.97085071, 0.97451288, 1.0156713, 1.0886689, 1.1209948, 1.1613293, 1.1789678, 1.2551497, 1.3289028, 1.3425591, 1.4230403, 1.4299092, 1.4564447, 1.4607385, 1.6208218, 1.7146174, 1.7373399, 1.865321, 1.8683054, 1.9079221, 1.9405619, 2.0594637, 2.1538439, 2.1856568, 2.1972594, 2.5382781, 2.5823967, 2.6333272, 2.6603124, 2.6924634, 2.7937253, 2.9221799, 2.9333756, 2.9819198, 3.0143278, 3.0250669, 3.0664687, 3.1459689, 3.1581969, 3.1683099, 3.286437, 3.3526609, 3.4719255, 3.4728105, 3.5295422, 3.5720212, 3.5905023, 3.6243682, 3.8451169, 4.3312125, 4.8120742, 4.9722424, 4.9859648, 5.2171655, 5.2690744, 5.5210795, 5.5391226, 5.6198177, 5.8215647, 6.029511, 6.3019629, 6.3068352, 6.471385, 6.9033999, 7.384757, 7.4090791, 7.429266, 7.5144658, 7.7538948, 8.2073736, 8.2084579, 9.2794437, 9.530055]",www.pubmed.com/18842628,"Transcriptional repressor and activator; involved in repression of flocculation-related genes, and activation of stress responsive genes; negatively regulated by cAMP-dependent protein kinase A subunit Tpk2p; premature stop codon (C1430T, Q477-stop) in SK1 background is linked to the aggressively invasive phenotype of SK1 relative to BY4741 (S288C)"
S000000661,YCR065W,HCM1,83.0,277.050983675,3.33796365873,"[0.0086758286, 0.054559566, 0.20736171, 0.29192638, 0.32236493, 0.51271832, 0.51271832, 0.5174861, 0.55361438, 0.60701406, 0.64429301, 0.83372229, 0.8444674, 1.0207855, 1.0825739, 1.1923907, 1.2043277, 1.3299558, 1.3565991, 1.4064094, 1.4397165, 1.4724987, 1.5052513, 1.5505803, 1.7027962, 1.7294642, 1.7553244, 1.8444674, 1.8531747, 1.8906946, 2.1899114, 2.2256978, 2.2328968, 2.2723737, 2.2790976, 2.3616605, 2.3616605, 2.3821342, 2.5713406, 2.5713406, 2.5713406, 3.0272117, 3.1993718, 3.2723737, 3.3091323, 3.4482234, 3.5476258, 3.5750303, 3.7091155, 3.7756729, 3.7756729, 3.808399, 3.8277338, 3.9162297, 3.9162297, 4.0557809, 4.1612968, 4.2531023, 4.3973112, 4.7353973, 4.9182158, 4.9447989, 4.9447989, 4.9447989, 4.9447989, 4.9447989, 4.9447989, 4.9447989, 5.0545597, 5.5702925, 5.6070142, 5.8776617, 6.0825739, 6.1206489, 6.4349408, 6.590641, 6.8903513, 7.9690361, 8.6161766, 8.7549992, 8.7925196, 9.8744879, 10.304975]",www.pubmed.com/19111667,"Forkhead transcription factor; drives S-phase activation of genes involved in chromosome segregation, spindle dynamics, budding; also activates genes involved in respiration, use of alternative energy sources (like proline), NAD synthesis, oxidative stress resistance; key factor in early adaptation to nutrient deficiency and diauxic shift; suppressor of calmodulin mutants with specific SPB assembly defects; ortholog of C. elegans lifespan regulator PHA-4"
S000005942,YPL021W,ECM23,94.0,270.892023315,2.88183003526,"[0.00048614797, 0.003297366, 0.06024541, 0.073687673, 0.15320265, 0.15555315, 0.29631278, 0.4283894, 0.44824255, 0.54822618, 0.55150133, 0.59286612, 0.63505858, 0.63945568, 0.65258741, 0.6823712, 0.69202363, 0.75573438, 0.78104132, 0.81805909, 0.84020334, 0.85429817, 1.0328485, 1.0995011, 1.1125156, 1.1527219, 1.203578, 1.2803712, 1.3149284, 1.3194565, 1.3515851, 1.384135, 1.4276727, 1.4619175, 1.5402384, 1.6077332, 1.6667134, 1.7317389, 1.7922442, 1.8047578, 1.8160701, 1.8660566, 1.8727512, 1.9073775, 1.9710431, 2.0113745, 2.0724015, 2.0724015, 2.1695004, 2.2223022, 2.458261, 2.6461341, 2.8805771, 2.9155972, 3.0671594, 3.122658, 3.1373813, 3.1457417, 3.1505032, 3.1758657, 3.1810272, 3.2068346, 3.2910256, 3.4834371, 3.5645587, 3.6298428, 3.9009953, 4.1434441, 4.4875484, 4.6973147, 4.7328835, 4.7659655, 4.8178887, 4.8296323, 4.917439, 5.0296412, 5.067132, 5.182333, 5.481709, 5.6554632, 5.6691017, 5.8005137, 5.8084383, 5.8619142, 5.9445, 6.015583, 6.1929493, 6.9383664, 7.0758696, 7.4340992, 7.8657975, 8.3803711, 8.755374, 9.4543715]",www.pubmed.com/19111667,"Non-essential protein of unconfirmed function; affects pre-rRNA processing, may act as a negative regulator of the transcription of genes involved in pseudohyphal growth; homologous to Srd1p"
S000004003,YLR013W,GAT3,103.0,247.857974358,2.40638810056,"[0.073090889, 0.073784657, 0.080785275, 0.087043874, 0.088323429, 0.12809578, 0.15475141, 0.17123953, 0.27585709, 0.33027622, 0.33858263, 0.36527202, 0.3671518, 0.4146668, 0.45371836, 0.46610206, 0.48882216, 0.52041322, 0.54313326, 0.55979687, 0.60656983, 0.64882118, 0.72575337, 0.75244194, 0.77649486, 0.7992149, 0.80052114, 0.84360904, 0.88667774, 0.99428672, 1.0274695, 1.0572965, 1.0597543, 1.1016906, 1.1346053, 1.1695061, 1.1859941, 1.1968479, 1.1986892, 1.2142525, 1.2142525, 1.2219849, 1.2493153, 1.2600898, 1.327204, 1.3311725, 1.3334359, 1.4584485, 1.4646804, 1.472334, 1.4737965, 1.66793, 1.6826847, 1.7188005, 1.799215, 1.8139292, 1.8289835, 1.8897986, 1.9736809, 1.9762968, 1.981835, 2.0510645, 2.1618524, 2.1764991, 2.1968479, 2.2662597, 2.2811513, 2.332324, 2.4020588, 2.5026672, 2.5832856, 2.7391205, 3.1959994, 3.2435396, 3.2435396, 3.2811513, 3.3873653, 3.3906713, 3.5961931, 3.6902313, 3.8342779, 4.0058613, 4.2919025, 4.5294232, 4.6065292, 4.7759309, 4.8265834, 4.8659768, 5.1688046, 5.4273443, 5.519269, 5.6928053, 6.0907693, 6.4038925, 6.5122333, 6.7468147, 6.8139291, 6.9977264, 7.5287294, 7.5514493, 7.5965376, 8.3164291, 8.7316608]",www.pubmed.com/19111667,"Protein containing GATA family zinc finger motifs; involved in spore wall assembly; sequence similarity to GAT4, and the double mutant gat3 gat4 exhibits reduced dityrosine fluorescence relative to the single mutants"
S000002718,YDR310C,SUM1,63.0,226.047942504,3.58806257943,"[0.15101017, 0.33581939, 0.71066779, 0.82693362, 0.87907022, 0.967246, 1.0524933, 1.0892879, 1.1135354, 1.3652807, 1.4765196, 1.582305, 1.9239786, 2.1516707, 2.2315867, 2.236918, 2.2922082, 2.3978803, 2.4026322, 2.4026322, 2.4026322, 2.4462433, 2.464458, 2.4901476, 2.605303, 2.8521104, 2.9130902, 3.1589417, 3.1589417, 3.1660709, 3.1960948, 3.3130209, 3.5281491, 3.6174779, 3.6174779, 3.9207819, 3.9214423, 3.9923263, 3.9923263, 3.9923263, 4.1531124, 4.2073393, 4.2126703, 4.2695546, 4.2695546, 5.1030717, 5.1767507, 5.1911144, 5.2693658, 5.2693658, 5.276608, 5.3375373, 5.3546128, 5.4767885, 5.8672867, 6.2825928, 6.2825928, 6.3783846, 6.4068689, 6.9763055, 7.5401359, 7.9012861, 9.5060043]",www.pubmed.com/19111667,"Transcriptional repressor that regulates middle-sporulation genes; required for mitotic repression of middle sporulation-specific genes; also acts as general replication initiation factor; involved in telomere maintenance, chromatin silencing; regulated by pachytene checkpoint"
