,Gene Feature Name,Common Name,Number of Hits,Total Sum of Scores,Avg. Score per Hit,List of Scores,Gene Description
S000002618,YDR210W,,3.0,39.7192211151,13.2397403717,"[11.711248, 14.003986, 14.003986]",Predicted tail-anchored plasma membrane protein; contains a conserved CYSTM module; related proteins in other organisms may be involved in response to stress; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery
S000005140,YNL196C,SLZ1,3.0,39.5361013412,13.1787004471,"[12.449397, 13.352807, 13.733897]",Sporulation-specific protein with a leucine zipper motif; subunit of the MIS complex which controls mRNA methylation during during the induction of sporulation
S000004348,YLR356W,ATG33,3.0,39.317440033,13.1058133443,"[11.309467, 14.003986, 14.003986]","Mitochondrial mitophagy-specific protein; required primarily for mitophagy induced at post-log phase; not required for other types of selective autophagy or macroautophagy; conserved within fungi, but not in higher eukaryotes; ATG33 has a paralog, SCM4, that arose from the whole genome duplication"
S000004347,YLR355C,ILV5,3.0,39.317440033,13.1058133443,"[11.309467, 14.003986, 14.003986]",Acetohydroxyacid reductoisomerase and mtDNA binding protein; involved in branched-chain amino acid biosynthesis and maintenance of wild-type mitochondrial DNA; found in mitochondrial nucleoids
S000005413,YOL052C-A,DDR2,3.0,37.164144516,12.388048172,"[11.377248, 12.712163, 13.074734]","Multi-stress response protein; expression is activated by a variety of xenobiotic agents and environmental or physiological stresses; DDR2 has a paralog, HOR7, that arose from the whole genome duplication"
S000007591,YBL029C-A,,3.0,37.0020656586,12.3340218862,"[11.735702, 11.98727, 13.279094]",Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery; protein abundance increases in response to DNA replication stress; has potential orthologs in Saccharomyces species and in Yarrowia lipolytica
S000002140,YAL064C-A,TDA8,3.0,36.861374855,12.2871249517,"[11.98727, 12.166633, 12.707472]",Putative protein of unknown function; null mutant is sensitive to expression of the top1-T722A allele; not an essential gene
S000002839,YDR431W,,3.0,36.775636673,12.2585455577,"[10.335509, 13.093253, 13.346874]","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"
S000006005,YPL084W,BRO1,3.0,36.6289300919,12.209643364,"[10.188803, 13.093253, 13.346874]",Cytoplasmic class E vacuolar protein sorting (VPS) factor; coordinates deubiquitination in the multivesicular body (MVB) pathway by recruiting Doa4p to endosomes
S000004619,YMR017W,SPO20,3.0,36.4101066589,12.1367022196,"[10.271264, 12.810489, 13.328354]",Meiosis-specific subunit of the t-SNARE complex; required for prospore membrane formation during sporulation; similar to but not functionally redundant with Sec9p; SNAP-25 homolog
