,TF Feature Name,TF Common Name,Number of Hits,Total Sum of Scores,Avg. Score per Hit,List of Scores,Medline,TF Description
S000002157,YBR089C-A,NHP6B,316.0,833.245614696,2.63685321106,"[0.048691515, 0.055050239, 0.086562961, 0.09643212, 0.10877356, 0.12826318, 0.16933733, 0.17191745, 0.17598797, 0.17681023, 0.17727266, 0.18288504, 0.19062939, 0.20370468, 0.20758083, 0.22057214, 0.23266745, 0.23512596, 0.25147003, 0.25935981, 0.26006463, 0.28435636, 0.28576818, 0.3024036, 0.31557989, 0.33202544, 0.39182237, 0.39541724, 0.3999131, 0.41084889, 0.41939133, 0.42138556, 0.42718518, 0.43515158, 0.43567079, 0.43936047, 0.47347075, 0.47381645, 0.47429121, 0.47693893, 0.48102325, 0.48332402, 0.48417178, 0.48519588, 0.49480674, 0.49798337, 0.52331585, 0.5397532, 0.5433737, 0.5498305, 0.5546962, 0.57065558, 0.57083791, 0.572519, 0.59011501, 0.63719332, 0.63980985, 0.64529806, 0.64646459, 0.64766371, 0.64768988, 0.65883482, 0.66934925, 0.67103201, 0.68733072, 0.69451702, 0.7043556, 0.71580732, 0.74067312, 0.75194329, 0.7519455, 0.76153082, 0.77204257, 0.8309328, 0.85616916, 0.85649407, 0.85856855, 0.87749416, 0.92521226, 0.9318276, 0.94545835, 0.97164565, 1.0021424, 1.0343995, 1.0562863, 1.0652729, 1.072495, 1.0762702, 1.0848548, 1.1050568, 1.1069862, 1.1275605, 1.1339614, 1.1405387, 1.1498026, 1.1542832, 1.1789156, 1.1970786, 1.2019264, 1.2233647, 1.2615466, 1.2657471, 1.2687899, 1.2969115, 1.3171788, 1.3174629, 1.3252324, 1.3380185, 1.3399464, 1.37442, 1.3851901, 1.4112796, 1.4226381, 1.439202, 1.4603673, 1.4617192, 1.5074774, 1.516156, 1.5268652, 1.5282187, 1.5324602, 1.5372509, 1.5590476, 1.5686681, 1.5820203, 1.5938095, 1.6039892, 1.6317142, 1.6512718, 1.6529356, 1.6595316, 1.6895536, 1.69986, 1.7285365, 1.7722832, 1.793189, 1.8089038, 1.8098629, 1.8173362, 1.8462358, 1.855108, 1.8603917, 1.8687053, 1.8916209, 1.9249758, 1.9266827, 1.9435229, 2.0059166, 2.0212834, 2.0232465, 2.0450981, 2.0467074, 2.0593112, 2.0755064, 2.1048231, 2.11166, 2.12024, 2.1240499, 2.132503, 2.1373665, 2.1950507, 2.205189, 2.211139, 2.2139187, 2.2445955, 2.2559671, 2.2757699, 2.302274, 2.3190107, 2.3441026, 2.3622367, 2.3664813, 2.368613, 2.4183798, 2.4713328, 2.4979844, 2.50617, 2.508383, 2.5090158, 2.5135775, 2.5152555, 2.5630562, 2.5695355, 2.6094677, 2.6562688, 2.6663687, 2.6849992, 2.686532, 2.6898353, 2.6900504, 2.6917412, 2.6930354, 2.77226, 2.7952931, 2.8320725, 2.8462319, 2.8551669, 2.8749776, 2.9088278, 2.9236372, 2.9431272, 2.9483302, 2.9920785, 3.006253, 3.029376, 3.030659, 3.0388501, 3.0752764, 3.0759697, 3.1213977, 3.1556647, 3.1608946, 3.1642535, 3.1658337, 3.209754, 3.2234502, 3.2352064, 3.2577717, 3.2677975, 3.358098, 3.3639143, 3.3754313, 3.412081, 3.4233389, 3.5555751, 3.5606575, 3.6669371, 3.6715081, 3.6731362, 3.687073, 3.7595069, 3.7630565, 3.8111255, 3.8271747, 3.8408036, 3.8582644, 3.8879902, 3.8951416, 3.9096451, 3.9150116, 3.9317575, 3.9694164, 4.0496912, 4.0635715, 4.0655665, 4.0727315, 4.0817385, 4.2006879, 4.2179604, 4.2486858, 4.2493558, 4.2683582, 4.2885485, 4.3094087, 4.3639078, 4.3947158, 4.4079943, 4.4115953, 4.5222926, 4.5974178, 4.6036286, 4.6065421, 4.6170435, 4.6206522, 4.7642055, 4.8200264, 4.8233805, 4.9190273, 4.9316139, 4.9742045, 5.0314126, 5.0471945, 5.0618949, 5.2560148, 5.301887, 5.334465, 5.35888, 5.4384084, 5.4415007, 5.451622, 5.4706459, 5.479651, 5.4996452, 5.5122256, 5.5672531, 5.669208, 5.6857681, 5.7104282, 5.7785611, 5.8009892, 5.9651995, 5.973846, 6.0691066, 6.2575169, 6.3049164, 6.3235321, 6.3837972, 6.5242209, 6.5648651, 6.5999227, 6.8952131, 6.968689, 7.0591173, 7.1051459, 7.209446, 7.3478727, 7.3684492, 7.3923588, 7.5781155, 8.5790243, 8.6189365, 8.6320734, 9.1002645, 9.2680416, 9.3489809, 11.216776]",www.pubmed.com/18842628,"High-mobility group (HMG) protein; binds to and remodels nucleosomes; involved in recruiting FACT and other chromatin remodelling complexes to the chromosomes; functionally redundant with Nhp6Ap; required for transcriptional initiation fidelity of some tRNA genes; homologous to mammalian HMGB1 and HMGB2; NHP6B has a paralog, NHP6A, that arose from the whole genome duplication"
S000006256,YPR052C,NHP6A,176.0,475.930946458,2.70415310488,"[0.0099553876, 0.042582043, 0.052815117, 0.078845091, 0.094424576, 0.1659154, 0.19419421, 0.21316245, 0.21590818, 0.22450516, 0.22813411, 0.26765072, 0.27732581, 0.27790016, 0.28732163, 0.30446875, 0.31450698, 0.35931581, 0.36832049, 0.36961681, 0.37257779, 0.42621005, 0.47878084, 0.49450347, 0.49648342, 0.50743669, 0.53306383, 0.55262417, 0.5690257, 0.59753156, 0.60010022, 0.62750238, 0.63624436, 0.63740504, 0.63895261, 0.65701836, 0.66659033, 0.70422965, 0.75373769, 0.77999717, 0.81199265, 0.82556599, 0.85476488, 0.87833709, 0.88560122, 0.89185649, 0.89354384, 0.90821636, 0.92901081, 0.95694226, 0.9799394, 0.98852926, 1.0243487, 1.0303019, 1.0608934, 1.1004379, 1.1041784, 1.1120888, 1.1185751, 1.1314658, 1.240858, 1.2819691, 1.3018818, 1.3146634, 1.3176913, 1.3428607, 1.360204, 1.4343054, 1.460434, 1.4628732, 1.4648747, 1.4652048, 1.5136914, 1.5928472, 1.6003975, 1.6120627, 1.6770165, 1.6770188, 1.6792283, 1.6887324, 1.691514, 1.7001092, 1.703407, 1.7295665, 1.7810959, 1.7843021, 1.7909635, 1.8200291, 1.8806084, 1.9386662, 1.9633079, 2.0090234, 2.0178466, 2.0607653, 2.0942893, 2.149636, 2.2569416, 2.3145056, 2.3309624, 2.3371005, 2.3403554, 2.3412409, 2.351743, 2.3909967, 2.4023647, 2.5477023, 2.5670965, 2.6229215, 2.6236365, 2.6286798, 2.6915355, 2.8980961, 2.9381573, 2.9386587, 3.0658064, 3.1977415, 3.2136989, 3.2740858, 3.3632634, 3.4469593, 3.47101, 3.5222702, 3.5252824, 3.5312457, 3.5515702, 3.6336362, 3.6381292, 3.6888254, 3.7037563, 3.7322862, 3.8317916, 3.8676975, 4.0510068, 4.0910759, 4.1589375, 4.24968, 4.2893939, 4.3410621, 4.3939781, 4.4178543, 4.4222875, 4.5242085, 4.651484, 4.6874986, 4.7808552, 4.9350696, 5.0402694, 5.21489, 5.26859, 5.2730403, 5.4668388, 5.5024171, 5.5351334, 5.5542612, 5.6384349, 5.6460547, 5.8296304, 5.8974876, 5.9230342, 6.0782347, 6.1202502, 6.1343765, 6.2842278, 6.3020568, 6.434515, 6.7680717, 7.3611732, 8.5103159, 8.541523, 8.5428038, 8.552989, 9.4083242, 9.7052126, 10.907833, 11.128428, 11.416966]",www.pubmed.com/18842628,"High-mobility group (HMG) protein; binds to and remodels nucleosomes; involved in recruiting FACT and other chromatin remodelling complexes to chromosomes; functionally redundant with Nhp6Bp; required for transcriptional initiation fidelity of some tRNA genes; homologous to mammalian HMGB1 and HMGB2; NHP6A has a paralog, NHP6B, that arose from the whole genome duplication; protein abundance increases in response to DNA replication stress"
S000002264,YDL106C,PHO2,82.0,413.757782519,5.04582661608,"[0.54377317, 0.89169651, 1.3115997, 1.659523, 1.659523, 1.659523, 2.6349211, 3.0548244, 3.2442129, 3.2442129, 3.2492485, 3.2492485, 3.5921361, 3.5921361, 3.5921361, 3.5921361, 3.5921361, 3.5921361, 3.6691518, 3.7661657, 3.7661657, 4.0120397, 4.0120397, 4.0170751, 4.0170751, 4.0170751, 4.0170751, 4.3599629, 4.3599629, 4.3599629, 4.3599629, 4.3599629, 4.3599629, 4.3599629, 4.3599629, 4.3599629, 4.3599629, 4.3599629, 4.3599629, 4.5339923, 4.6445498, 4.9874377, 4.9874377, 5.335361, 5.335361, 5.4123764, 5.4123764, 5.5093904, 5.7552643, 5.7602997, 5.7602997, 5.7757945, 5.7757945, 5.7757945, 5.7757945, 6.1031876, 6.1031876, 6.1031876, 6.1186819, 6.1186819, 6.1237178, 6.1237178, 6.5436211, 6.5436211, 6.8865085, 6.8865085, 6.8865085, 6.8865085, 6.8915443, 6.8915443, 6.8915443, 7.2344317, 7.2344317, 7.5190191, 7.5190191, 7.8619065, 7.8619065, 8.2098303, 8.2098303, 8.2868452, 8.6347685, 8.9776564]",www.pubmed.com/19111667,Homeobox transcription factor; regulatory targets include genes involved in phosphate metabolism; binds cooperatively with Pho4p to the PHO5 promoter; phosphorylation of Pho2p facilitates interaction with Pho4p; relocalizes to the cytosol in response to hypoxia
S000000386,YBR182C,SMP1,148.0,364.060534548,2.45986847668,"[0.050262984, 0.096639648, 0.098500229, 0.10913352, 0.11699411, 0.12283526, 0.15992585, 0.20827238, 0.21106862, 0.26038694, 0.29253101, 0.33938193, 0.37162107, 0.40494984, 0.41512036, 0.42262203, 0.43306348, 0.45631266, 0.48407823, 0.52411711, 0.53155899, 0.57901442, 0.61564344, 0.61686277, 0.62881714, 0.63359272, 0.64571214, 0.65643358, 0.71609843, 0.73111808, 0.73907959, 0.76296526, 0.79979044, 0.81057012, 0.81352365, 0.84180528, 0.86551368, 0.89561152, 0.91793871, 0.97459871, 1.0100977, 1.0156122, 1.0385944, 1.0733247, 1.0880605, 1.1042259, 1.1422359, 1.1492444, 1.1884484, 1.2186358, 1.2408307, 1.2769467, 1.2871375, 1.3297139, 1.3306574, 1.3548433, 1.3623788, 1.3800665, 1.3825775, 1.4452136, 1.4506965, 1.480275, 1.5005939, 1.5348852, 1.5350453, 1.5424206, 1.5628275, 1.5666008, 1.5727633, 1.5768441, 1.5939466, 1.6259011, 1.6489393, 1.6524084, 1.6573776, 1.6754216, 1.6953015, 1.7150564, 1.7882444, 1.7887037, 1.8134491, 1.8722167, 1.9073707, 1.940873, 2.1098092, 2.1106825, 2.2524691, 2.2779605, 2.3020999, 2.3522477, 2.5200038, 2.5300043, 2.540704, 2.5810246, 2.6834316, 2.7146728, 2.7148747, 2.7183716, 2.7251308, 2.7442091, 2.7866056, 2.8064485, 2.8719485, 2.9880047, 3.150492, 3.1838567, 3.1955428, 3.2653167, 3.2716615, 3.3675928, 3.665273, 3.6960559, 3.7754095, 3.8828144, 3.940923, 3.9719839, 3.9957397, 4.0229492, 4.1443582, 4.353538, 4.3562951, 4.4503989, 4.4620628, 4.6162009, 4.6565509, 4.781395, 4.8365707, 4.9001431, 5.0643201, 5.2710748, 5.3548474, 5.3605194, 5.5988293, 5.6304049, 5.6440258, 5.7600245, 5.8898988, 6.0091381, 6.1397653, 6.6815991, 6.9353027, 7.1691179, 7.2565827, 7.2807412, 7.3270202, 8.2294006, 8.8806543, 10.832365]",www.pubmed.com/18842628,"MADS-box transcription factor involved in osmotic stress response; SMP1 has a paralog, RLM1, that arose from the whole genome duplication"
S000004395,YLR403W,SFP1,97.0,309.327190667,3.18894010997,"[0.036427122, 0.052543189, 0.085473709, 0.087554388, 0.11910013, 0.17511536, 0.20766994, 0.2116348, 0.23575759, 0.2394374, 0.2498751, 0.27026775, 0.30276498, 0.34224924, 0.35102272, 0.35265562, 0.39238262, 0.42152092, 0.4294886, 0.42951715, 0.44564247, 0.45921725, 0.48197797, 0.51139891, 0.53589672, 0.58615142, 0.61904091, 0.64622217, 0.65459609, 0.66227239, 0.6695829, 0.71555549, 0.77951992, 0.81634682, 0.83763206, 0.86952358, 0.92643154, 1.0587964, 1.1036131, 1.1346252, 1.1429358, 1.1556541, 1.1727623, 1.2562475, 1.3318907, 1.3671997, 1.3981326, 1.4693733, 1.5762717, 1.5825698, 1.6059287, 1.661852, 1.7610028, 1.7790918, 1.7841542, 1.8161807, 1.8498874, 2.1129079, 2.134294, 2.1605468, 2.1706884, 2.2688093, 2.5080919, 2.5618541, 2.8156371, 3.0619738, 3.2712162, 3.292474, 3.3270314, 3.4076865, 3.4668167, 3.473305, 3.4996247, 3.5200105, 4.1982956, 4.2887049, 4.5354104, 4.5545902, 4.5782676, 4.6748962, 4.9659781, 5.0344777, 5.4438648, 5.9424829, 6.3632932, 7.4476709, 9.3277168, 10.087531, 10.223833, 12.9235, 13.834199, 14.687687, 14.966024, 15.915896, 16.363031, 16.684669, 18.014565]",www.pubmed.com/18842628,"Regulates transcription of ribosomal protein and biogenesis genes; regulates response to nutrients and stress, G2/M transitions during mitotic cell cycle and DNA-damage response, and modulates cell size; regulated by TORC1 and Mrs6p; sequence of zinc finger, ChIP localization data, and protein-binding microarray (PBM) data, and computational analyses suggest it binds DNA directly at highly active RP genes and indirectly through Rap1p at others; can form the [ISP+] prion"
S000000661,YCR065W,HCM1,75.0,271.80433207,3.62405776093,"[0.00043682745, 0.095253073, 0.2348042, 0.25440633, 0.40295768, 0.55327243, 0.81168526, 1.049848, 1.049848, 1.074765, 1.1032476, 1.1613423, 1.2043277, 1.2043277, 1.2130083, 1.2723242, 1.3008934, 1.3299558, 1.4226884, 1.6587965, 1.8046598, 1.9611225, 1.9611225, 2.1565745, 2.1613424, 2.1899114, 2.2723737, 2.2790976, 2.3427136, 2.4508035, 2.4931161, 2.5713406, 2.6391945, 2.7264302, 2.9007356, 2.9192638, 2.9192638, 2.9192638, 3.0626936, 3.0753829, 3.2226636, 3.2723737, 3.2790976, 3.3821342, 3.808399, 3.8854337, 3.9162297, 3.9162297, 4.1073661, 4.9447989, 4.9447989, 4.9447989, 4.9515228, 4.9515228, 5.0920796, 5.1766286, 5.2432113, 5.3049746, 5.4507108, 5.4522552, 5.5731611, 5.8871222, 6.1206489, 6.4349408, 6.6197038, 6.7669845, 6.870749, 7.148663, 7.2704167, 7.7264299, 8.6452389, 9.2764053, 9.6161766, 9.8744879, 10.521379]",www.pubmed.com/19111667,"Forkhead transcription factor; drives S-phase activation of genes involved in chromosome segregation, spindle dynamics, budding; also activates genes involved in respiration, use of alternative energy sources (like proline), NAD synthesis, oxidative stress resistance; key factor in early adaptation to nutrient deficiency and diauxic shift; suppressor of calmodulin mutants with specific SPB assembly defects; ortholog of C. elegans lifespan regulator PHA-4"
S000002718,YDR310C,SUM1,56.0,232.091541231,4.14449180769,"[0.31516933, 0.5682655, 0.62795675, 0.71066779, 0.87907022, 1.0526065, 1.3644971, 1.4353551, 1.4526728, 1.57951, 1.57951, 1.7654603, 1.8922974, 1.9048634, 2.127423, 2.2312305, 2.2610135, 2.2681124, 2.4046514, 2.5139942, 2.6197796, 2.8005962, 3.0540485, 3.0766089, 3.0778952, 3.089288, 3.2203422, 3.250145, 3.5691147, 3.6064007, 3.6434381, 3.7287986, 3.7654603, 3.8997309, 3.9239786, 4.4636321, 4.4878793, 4.8006668, 4.8900781, 5.0740724, 5.276495, 5.5821528, 5.8672867, 5.8771706, 6.1849775, 6.3207126, 6.663518, 6.8880591, 7.1058669, 7.5884986, 7.7362323, 7.9156494, 9.9871941, 11.33971, 13.390868, 13.390868]",www.pubmed.com/19111667,"Transcriptional repressor that regulates middle-sporulation genes; required for mitotic repression of middle sporulation-specific genes; also acts as general replication initiation factor; involved in telomere maintenance, chromatin silencing; regulated by pachytene checkpoint"
S000005666,YOR140W,SFL1,76.0,207.326604735,2.72798164125,"[0.033452135, 0.1571638, 0.18645427, 0.29076689, 0.31208193, 0.34971008, 0.39661759, 0.44515449, 0.47517112, 0.52661556, 0.52797931, 0.62088943, 0.63277537, 0.63850266, 0.74473345, 0.79219097, 0.80543864, 0.82680053, 0.83990949, 0.90299034, 0.98362815, 1.0077702, 1.0500618, 1.1043425, 1.2372719, 1.2489309, 1.3081969, 1.3774732, 1.4298759, 1.4897101, 1.5008469, 1.5769198, 1.5853357, 1.7218146, 1.749095, 1.7763439, 1.8809569, 1.9903451, 1.9969782, 2.0502086, 2.1476707, 2.216418, 2.3386631, 2.3691001, 2.4236755, 2.4937522, 2.5040572, 2.6845942, 2.8000906, 2.8057096, 2.8084183, 2.8198445, 2.9369681, 3.2174723, 3.2617621, 3.2718921, 3.5849128, 3.679966, 3.9127839, 3.9334164, 4.273232, 4.4254956, 4.7900033, 4.9025421, 4.9261594, 4.9262261, 5.0255694, 6.2501831, 6.440311, 6.646174, 7.5235434, 8.1969624, 8.9355431, 9.4416943, 9.8628578, 11.977436]",www.pubmed.com/18842628,"Transcriptional repressor and activator; involved in repression of flocculation-related genes, and activation of stress responsive genes; negatively regulated by cAMP-dependent protein kinase A subunit Tpk2p; premature stop codon (C1430T, Q477-stop) in SK1 background is linked to the aggressively invasive phenotype of SK1 relative to BY4741 (S288C)"
S000001457,YIR018W,YAP5,32.0,154.19807592,4.81868987251,"[0.49932978, 0.72623879, 1.6814061, 1.6814061, 1.6814061, 2.5695133, 2.5695133, 2.6882362, 3.2307115, 3.2307115, 3.2307115, 3.795063, 4.4562612, 4.4562612, 4.6831703, 5.344368, 5.344368, 5.4196177, 5.4196177, 5.6383376, 5.6383376, 6.2995358, 6.2995358, 6.2995358, 6.5264444, 6.5264444, 7.1876426, 7.1876426, 7.5332747, 8.4884424, 8.4884424, 9.3765488]",www.pubmed.com/16522208,"Basic leucine zipper (bZIP) iron-sensing transcription factor; involved in diauxic shift; YAP5 has a paralog, YAP7, that arose from the whole genome duplication"
S000005942,YPL021W,ECM23,68.0,150.703536883,2.21622848357,"[0.059379838, 0.10080218, 0.12919277, 0.17466532, 0.17603756, 0.36596861, 0.37434322, 0.38073152, 0.42755729, 0.45520923, 0.46693155, 0.47241154, 0.69978827, 0.72129548, 0.72152025, 0.77421027, 0.77718186, 0.79243064, 0.87981725, 0.88001448, 0.91088176, 0.99321508, 1.0079106, 1.0522687, 1.122658, 1.3392389, 1.3633606, 1.3756824, 1.3934571, 1.4151746, 1.4767424, 1.5135435, 1.5235842, 1.568803, 1.6783762, 1.7127823, 1.7408192, 1.7645923, 1.9242274, 1.9953361, 2.102942, 2.1808195, 2.198082, 2.2150352, 2.2330821, 2.3756824, 2.6340454, 2.8462248, 3.1442997, 3.1631033, 3.3693454, 3.3962231, 3.4901214, 3.5135434, 3.5135434, 3.628871, 3.6589019, 3.6907835, 4.0299959, 4.0709133, 4.5918751, 4.6527548, 5.111526, 5.4099264, 6.6282783, 7.2180419, 8.0717525, 8.86168]",www.pubmed.com/19111667,"Non-essential protein of unconfirmed function; affects pre-rRNA processing, may act as a negative regulator of the transcription of genes involved in pseudohyphal growth; homologous to Srd1p"
