,Gene Feature Name,Common Name,Number of Hits,Total Sum of Scores,Avg. Score per Hit,List of Scores,Gene Description
S000004888,YMR275C,BUL1,6.0,69.9272003174,11.6545333862,"[7.4127274, 10.308891, 13.051395, 13.051395, 13.051395, 13.051395]","Ubiquitin-binding component of the Rsp5p E3-ubiquitin ligase complex; disruption causes temperature-sensitive growth, overexpression causes missorting of amino acid permeases; BUL1 has a paralog, BUL2, that arose from the whole genome duplication"
S000003093,YGL125W,MET13,6.0,61.2387084961,10.206451416,"[7.4127274, 10.155231, 10.155231, 10.155231, 10.308891, 13.051395]","Major isozyme of methylenetetrahydrofolate reductase; catalyzes the reduction of 5,10-methylenetetrahydrofolate to 5-methyltetrahydrofolate in the methionine biosynthesis pathway"
S000002562,YDR155C,CPR1,7.0,60.0144929886,8.57349899837,"[4.5382581, 7.2807622, 8.6343994, 8.7663641, 10.176927, 10.308891, 10.308891]",Cytoplasmic peptidyl-prolyl cis-trans isomerase (cyclophilin); catalyzes the cis-trans isomerization of peptide bonds N-terminal to proline residues; binds the drug cyclosporin A; N-terminally propionylated in vivo; protein abundance increases in response to DNA replication stress
S000002564,YDR157W,,7.0,60.0144929886,8.57349899837,"[4.5382581, 7.2807622, 8.6343994, 8.7663641, 10.176927, 10.308891, 10.308891]","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"
S000004392,YLR400W,,6.0,58.3507041931,9.72511736552,"[5.8918953, 7.4127274, 7.4344225, 11.508868, 13.051395, 13.051395]","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"
S000004569,YML101C-A,,6.0,57.7442245483,9.62403742472,"[8.6343994, 8.6343994, 8.6343994, 8.6343994, 10.155231, 13.051395]","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"
S000004566,YML100W,TSL1,6.0,57.7442245483,9.62403742472,"[8.6343994, 8.6343994, 8.6343994, 8.6343994, 10.155231, 13.051395]","Large subunit of trehalose 6-phosphate synthase/phosphatase complex; Tps1p-Tps2p complex converts uridine-5'-diphosphoglucose and glucose 6-phosphate to trehalose; contributes to survival to acute lethal heat stress; mutant has aneuploidy tolerance; protein abundance increases in response to DNA replication stress; TSL1 has a paralog, TPS3, that arose from the whole genome duplication"
S000002563,YDR156W,RPA14,6.0,55.4762349129,9.24603915215,"[7.2807622, 8.6343994, 8.7663641, 10.176927, 10.308891, 10.308891]",RNA polymerase I subunit A14
S000003287,YGR055W,MUP1,6.0,54.3865280151,9.06442133586,"[7.4127274, 7.4127274, 7.4344225, 8.7663641, 10.308891, 13.051395]",High affinity methionine permease; integral membrane protein with 13 putative membrane-spanning regions; also involved in cysteine uptake
S000002357,YDL198C,GGC1,6.0,54.2328681946,9.03881136576,"[7.4127274, 7.4127274, 7.4127274, 10.176927, 10.308891, 11.508868]",Mitochondrial GTP/GDP transporter; essential for mitochondrial genome maintenance; has a role in mitochondrial iron transport; member of the mitochondrial carrier family
