,Gene Feature Name,Gene Common Name,MSN2 Number of Hits,MSN2 Total Sum of Scores,ROX1 Number of Hits,ROX1 Total Sum of Scores,Gene Description
S000001597,YKL114C,APN1,2,17.648177146911621,1,7.8073549270629883,"Major apurinic/apyrimidinic endonuclease; 3'-repair diesterase; involved in repair of DNA damage by oxidation and alkylating agents; also functions as a 3'-5' exonuclease to repair 7,8-dihydro-8-oxodeoxyguanosine; genetically interacts with NTG1 to maintain mitochondrial genome integrity"
S000005203,YNL259C,ATX1,2,17.648177146911621,1,11.714245796203613,"Cytosolic copper metallochaperone; transports copper to the secretory vesicle copper transporter Ccc2p for eventual insertion into Fet3p, which is a multicopper oxidase required for high-affinity iron uptake; human homolog ATOX1 can complement yeast atx1 mutant; overexpression of human ATOX1 suppresses lysine auxotrophy of the yeast sod1 null mutant, as does overexpression of yeast ATX1"
S000002156,YBR084C-A,RPL19A,3,23.826175212860107,1,12.614709854125977,"Ribosomal 60S subunit protein L19A; rpl19a and rpl19b single null mutations result in slow growth, while the double null mutation is lethal; homologous to mammalian ribosomal protein L19, no bacterial homolog; RPL19A has a paralog, RPL19B, that arose from the whole genome duplication"
S000001358,YIL096C,BMT5,3,23.826175212860107,1,14.199672698974609,Methyltransferase required for m3U2634 methylation of the 25S rRNA; S-adenosylmethionine-dependent; associates with precursors of the 60S ribosomal subunit; predicted to be involved in ribosome biogenesis
S000001607,YKL124W,SSH4,3,24.733065128326416,2,21.007027626037598,"Specificity factor required for Rsp5p-dependent ubiquitination; also required for sorting of cargo proteins at the multivesicular body; identified as a high-copy suppressor of a SHR3 deletion, increasing steady-state levels of amino acid permeases"
S000002483,YDR076W,RAD55,3,23.826175212860107,1,13.521600723266602,Protein that stimulates strand exchange; stimulates strand exchange by stabilizing the binding of Rad51p to single-stranded DNA; involved in the recombinational repair of double-strand breaks in DNA during vegetative growth and meiosis; forms heterodimer with Rad57p
S000006516,TA(AGC)K2,,3,23.826175212860107,1,12.199672698974609,"Alanine tRNA (tRNA-Ala), predicted by tRNAscan-SE analysis; one of 11 nuclear tRNA genes containing the tDNA-anticodon AGC (converted to IGC in the mature tRNA), decodes GCU and GCC codons into alanine, one of 16 nuclear tRNAs for alanine"
S000005612,YOR086C,TCB1,1,9.2775335311889648,1,18.106563568115234,"Lipid-binding ER protein involved in ER-plasma membrane tethering; one of 6 proteins (Ist2p, Scs2p, Scs22p, Tcb1p, Tcb2p, Tcb3p) that connect ER to plasma membrane and regulate PI4P levels by controlling access of Sac1p phosphatase to its substrate PI4P in PM; contains 3 calcium and lipid binding domains; non-tagged protein also localizes to mitochondria; C-termini of Tcb1p, Tcb2p and Tcb3p interact; TCB1 has a paralog, TCB2, that arose from the whole genome duplication"
S000005276,YNL332W,THI12,3,26.925710678100586,1,12.199672698974609,"Protein involved in synthesis of the thiamine precursor HMP; member of a subtelomeric gene family including THI5, THI11, THI12, and THI13; hydroxymethylpyrimidine is also known as HMP"
S000005275,YNL331C,AAD14,4,32.196818828582764,2,21.299208641052246,"Putative aryl-alcohol dehydrogenase; similar to P. chrysosporium aryl-alcohol dehydrogenase; mutational analysis has not yet revealed a physiological role; members of the AAD gene family comprise three pairs (AAD3 + AAD15, AAD6/AAD16 + AAD4, AAD10 + AAD14) whose two genes are more related to one another than to other members of the family"
