,Gene Feature Name,Common Name,Number of Hits,Total Sum of Scores,Avg. Score per Hit,List of Scores,Gene Description
S000005360,YNR077C,,71.0,447.31086199,6.30015298577,"[0.093017071, 0.2242616, 0.32581928, 0.32581928, 0.65339392, 0.74376839, 0.8112461, 2.3173709, 2.3173709, 2.9230921, 3.3404546, 3.5144808, 3.5144808, 3.5564322, 3.9150188, 3.9150188, 3.9150188, 4.5982523, 4.9791493, 4.9791493, 5.2800155, 5.4645758, 6.4175191, 6.4175191, 6.8536181, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 8.9467278, 8.9467278, 8.9467278, 8.9467278, 8.9467278, 8.9467278, 8.9467278, 8.9467278, 8.9467278, 8.9467278, 8.9467278, 8.9467278, 8.9467278, 8.9467278, 8.9467278, 8.9467278, 8.9467278]","Protein of unknown function, abundance changes with carbon source"
S000003988,YLL065W,,51.0,262.777016193,5.15249051358,"[0.2242616, 0.2242616, 0.32581928, 0.32581928, 0.51037961, 0.65339392, 0.72635722, 0.74376839, 1.7908975, 2.3173709, 2.3173709, 2.5051429, 2.7775152, 2.7775152, 2.9230921, 2.9230921, 3.9150188, 3.9150188, 3.9150188, 3.9999077, 4.9580874, 5.1247258, 5.2800155, 5.4435143, 5.4645758, 5.4645758, 6.4175191, 6.4175191, 6.7450938, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 8.9467278, 8.9467278, 8.9467278, 8.9467278, 8.9467278, 8.9467278]","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; overlaps chromosome XII telomeric element core sequences"
S000001831,YFL063W,,50.0,260.906059757,5.21812119514,"[0.093017071, 0.2242616, 0.32581928, 0.32581928, 0.32581928, 0.51037961, 0.65339392, 0.74376839, 0.92541713, 1.6652943, 1.7908975, 2.3173709, 2.5051429, 2.5051429, 2.7775152, 3.3404546, 3.3404546, 3.5564322, 4.9580874, 4.9791493, 5.1247258, 5.2800155, 5.4435143, 5.7161145, 5.7654424, 5.7654424, 6.7223735, 6.8536181, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 8.9467278, 8.9467278, 8.9467278, 8.9467278, 8.9467278, 8.9467278, 8.9467278, 8.9467278, 8.9467278]","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"
S000002951,YDR543C,,47.0,236.078614146,5.02294923714,"[0.2242616, 0.2242616, 0.32581928, 0.32581928, 0.51037961, 0.65339392, 0.74376839, 2.3173709, 2.3173709, 2.7775152, 2.9230921, 2.9230921, 3.2629421, 3.3404546, 3.5144808, 3.9150188, 3.9150188, 3.9925313, 3.9999077, 4.6519842, 4.6519842, 4.9580874, 4.9791493, 5.1247258, 5.2800155, 5.2800155, 5.4435143, 5.4645758, 5.4645758, 6.1166525, 6.4175191, 6.8536181, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 8.9467278, 8.9467278, 8.9467278, 8.9467278, 8.9467278, 8.9467278, 8.9467278, 8.9467278]","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"
S000028709,YOL166W-A,,44.0,235.952092439,5.36254755543,"[0.093017071, 0.32581928, 0.32581928, 0.50805455, 0.74376839, 1.8812718, 2.3173709, 2.3173709, 2.9230921, 2.9230921, 3.1925528, 3.2629421, 3.3404546, 3.5144808, 3.9150188, 3.9999077, 4.5982523, 4.6519842, 4.9791493, 5.2800155, 5.2800155, 5.4645758, 6.0955911, 6.7223735, 6.7450938, 6.8536181, 6.8536181, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.858552, 8.9467278, 8.9467278, 8.9467278, 8.9467278, 8.9467278, 8.9467278, 8.9467278]","Protein of unknown function; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching"
S000004945,YMR326C,,43.0,228.054525711,5.30359362118,"[0.11573715, 0.2242616, 0.2242616, 0.32581928, 0.32581928, 0.74376839, 1.8812718, 2.3173709, 2.3173709, 2.9230921, 2.9230921, 3.2629421, 3.3404546, 3.5144808, 3.9150188, 3.9150188, 3.9150188, 4.6519842, 4.9791493, 5.4645758, 5.7654424, 5.8796134, 6.1166525, 6.4175191, 6.8536181, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.8092241, 8.9467278, 8.9467278, 8.9467278, 8.9467278, 8.9467278, 8.9467278, 8.9467278, 8.9467278]","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; overlaps the telomere on the right arm of chromosome 13"
S000002173,YDL015C,TSC13,42.0,207.355838731,4.93704377931,"[0.2242616, 0.50805455, 0.74376839, 1.1624563, 1.1624563, 1.1624563, 1.1624563, 1.1624563, 1.4633228, 2.3173709, 3.5144808, 3.9698112, 3.9698112, 3.9698112, 3.9698112, 4.5982523, 4.5982523, 4.6519842, 4.6519842, 4.6519842, 4.6519842, 4.6519842, 5.8796134, 6.4175191, 6.4175191, 6.4175191, 6.5316901, 6.5316901, 6.5316901, 6.5316901, 6.5316901, 6.5316901, 6.8536181, 6.8536181, 6.8536181, 6.8536181, 6.8536181, 8.5106287, 9.2248745, 9.2248745, 9.2248745, 9.6609735]","Enoyl reductase; catalyzes last step in each cycle of very long chain fatty acid elongation; localizes to ER, highly enriched in a structure marking nuclear-vacuolar junctions; coimmunoprecipitates with elongases Elo2p and Elo3p; protein increases in abundance and relative distribution to ER foci increases upon DNA replication stress; human homolog TECR implicated in nonsyndromic mental retardation, can complement yeast mutant"
S000028536,YCR108C,,37.0,201.419198155,5.44376211231,"[0.2242616, 0.2242616, 0.32581928, 0.74376839, 1.8812718, 2.3173709, 2.4189286, 3.3404546, 3.9150188, 3.9150188, 4.5982523, 4.6519842, 4.6519842, 4.9791493, 4.9791493, 5.2800155, 5.2800155, 5.7654424, 5.7654424, 6.1166525, 6.2015414, 6.4175191, 6.8536181, 6.8536181, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 8.9467278, 8.9467278, 8.9467278, 8.9467278, 8.9467278]",Putative protein of unknown function; identified by fungal homology and RT-PCR
S000001830,YFL064C,,31.0,196.686258689,6.34471802221,"[0.2242616, 0.51037961, 0.65339392, 0.92541713, 1.7908975, 2.7775152, 4.9580874, 5.1247258, 5.2800155, 5.4435143, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 7.3731251, 8.9467278, 8.9467278, 8.9467278, 8.9467278, 8.9467278, 8.9467278, 8.9467278, 8.9467278, 8.9467278]",Putative protein of unknown function
S000004330,YLR338W,OPI9,57.0,182.552755937,3.20267992872,"[0.074280508, 0.074280508, 0.093017071, 0.2242616, 0.2242616, 0.32581928, 0.65339392, 0.65339392, 0.65339392, 0.76191837, 0.92541713, 1.1413947, 1.1798675, 1.2473452, 1.2473452, 1.2473452, 1.2473452, 1.2473452, 1.2473452, 1.2473452, 1.2473452, 1.2473452, 1.2473452, 1.2473452, 1.2473452, 1.8994219, 1.8994219, 1.8994219, 1.8994219, 1.8994219, 2.2735894, 2.294651, 2.4189286, 2.5051429, 2.8550277, 4.6519842, 4.7067766, 4.7067766, 5.1247258, 5.7161145, 6.0930171, 6.0955911, 6.1166525, 6.1166525, 6.1166525, 6.2015414, 6.2015414, 6.4175191, 6.8536181, 6.8536181, 6.8536181, 6.8536181, 6.8536181, 6.8536181, 6.8536181, 6.8536181, 9.6609735]","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF VRP1/YLR337C"
