,TF Feature Name,TF Common Name,Number of Hits,Total Sum of Scores,Avg. Score per Hit,List of Scores,Medline,TF Description
S000002157,YBR089C-A,NHP6B,317.0,766.09193716,2.41669380807,"[4.6140249e-05, 0.0023757161, 0.014444041, 0.014629036, 0.019051114, 0.040060885, 0.045740604, 0.046990372, 0.059654757, 0.065941177, 0.069995023, 0.082182594, 0.089966975, 0.097239777, 0.12384256, 0.16646396, 0.16867603, 0.17353289, 0.17834315, 0.17939894, 0.19017209, 0.19369256, 0.21632597, 0.24245219, 0.26105651, 0.26815066, 0.27577636, 0.29276639, 0.29622942, 0.30772126, 0.31835487, 0.32366028, 0.35045731, 0.36945999, 0.37562701, 0.38280156, 0.40565321, 0.44662616, 0.44756615, 0.46410441, 0.46461093, 0.46608737, 0.50653374, 0.52019089, 0.5370878, 0.53976071, 0.54047841, 0.55781054, 0.56229365, 0.56336731, 0.57798743, 0.58250874, 0.59594023, 0.60580713, 0.60691589, 0.60988909, 0.62252456, 0.64940029, 0.65502632, 0.66273099, 0.67464131, 0.71170896, 0.71571392, 0.72175062, 0.75580841, 0.75922102, 0.76274723, 0.78176194, 0.78670609, 0.80251265, 0.80989903, 0.8160302, 0.84090877, 0.8456921, 0.87017637, 0.87123984, 0.89453328, 0.89907694, 0.92262858, 0.92696315, 0.94736117, 0.95744568, 0.96370965, 1.0057521, 1.0106109, 1.0144806, 1.0315094, 1.034297, 1.043293, 1.0590266, 1.0631062, 1.0888951, 1.0913146, 1.1007872, 1.1087751, 1.1402986, 1.1538299, 1.1574401, 1.166183, 1.1711093, 1.1769297, 1.1774505, 1.1981887, 1.2100879, 1.2351696, 1.2403851, 1.2520664, 1.2660733, 1.2961936, 1.3276988, 1.3413067, 1.3449578, 1.354059, 1.3615968, 1.3634768, 1.3670864, 1.3925098, 1.4032382, 1.405066, 1.4467918, 1.4596854, 1.4714559, 1.4786032, 1.4820855, 1.4954875, 1.5335126, 1.5638634, 1.5865054, 1.5966072, 1.6094177, 1.620484, 1.622483, 1.6413586, 1.6465969, 1.6604729, 1.705888, 1.7179343, 1.7265588, 1.7377417, 1.7641197, 1.7924846, 1.8134305, 1.8441968, 1.8450512, 1.8697262, 1.869988, 1.8799971, 1.8899872, 1.9108064, 1.9127429, 1.9581903, 1.9836487, 1.9891523, 1.9998977, 2.00437, 2.0205536, 2.0285454, 2.0290387, 2.0333519, 2.0463827, 2.0464664, 2.0520885, 2.064997, 2.0662973, 2.0696194, 2.0729122, 2.0833337, 2.0874243, 2.099154, 2.1061525, 2.1108236, 2.1138117, 2.1147633, 2.1391077, 2.1622193, 2.190057, 2.1983566, 2.2005794, 2.204793, 2.2048607, 2.2253492, 2.2307506, 2.2424979, 2.2514043, 2.2597618, 2.2601705, 2.2774179, 2.2881637, 2.3337765, 2.3382797, 2.3586619, 2.3607605, 2.4158425, 2.42574, 2.4313397, 2.4417033, 2.4765632, 2.4796672, 2.5020142, 2.5479419, 2.5873325, 2.6501248, 2.6691692, 2.6964967, 2.7211168, 2.757236, 2.7833164, 2.7841516, 2.7923603, 2.801944, 2.8034012, 2.803539, 2.8450446, 2.8761034, 2.9171491, 2.9300396, 2.9390638, 2.963553, 3.0005708, 3.0022488, 3.0066001, 3.033098, 3.0597641, 3.0922627, 3.1256888, 3.1297247, 3.2043216, 3.2121961, 3.2177265, 3.2316756, 3.2327218, 3.2525973, 3.2870939, 3.2932005, 3.3003778, 3.3047099, 3.3350713, 3.3506262, 3.3871033, 3.4539657, 3.4557273, 3.4565666, 3.5046663, 3.5540361, 3.5800059, 3.586498, 3.5929968, 3.6009572, 3.6410503, 3.6800177, 3.8114548, 3.8252175, 3.944092, 4.0054069, 4.0169702, 4.0864778, 4.1087418, 4.1153016, 4.1250548, 4.1555057, 4.1843023, 4.193078, 4.205687, 4.2314754, 4.2825904, 4.321393, 4.3715158, 4.3718786, 4.3737044, 4.3768835, 4.4810462, 4.5789266, 4.5900497, 4.6533794, 4.6671457, 4.7255788, 4.7494349, 4.8177958, 4.8290267, 4.8377438, 4.9032626, 5.0031152, 5.0996327, 5.3244772, 5.3576651, 5.4303522, 5.4622898, 5.4819384, 5.4880085, 5.5089612, 5.517941, 5.5347509, 5.6904702, 5.7414494, 5.747642, 5.8043771, 5.8282981, 5.876832, 5.9516897, 6.0635338, 6.3322892, 6.3372245, 6.3389249, 6.3769484, 6.4761596, 6.9400325, 7.0179472, 7.0856237, 7.2508411, 7.2930589, 7.3108921, 7.8959355, 7.9551973, 8.4836893, 8.5432882, 8.552578, 9.049262]",www.pubmed.com/18842628,"High-mobility group (HMG) protein; binds to and remodels nucleosomes; involved in recruiting FACT and other chromatin remodelling complexes to the chromosomes; functionally redundant with Nhp6Ap; required for transcriptional initiation fidelity of some tRNA genes; homologous to mammalian HMGB1 and HMGB2; NHP6B has a paralog, NHP6A, that arose from the whole genome duplication"
S000002264,YDL106C,PHO2,96.0,470.137803376,4.89726878516,"[0.89169651, 1.3115997, 1.659523, 1.659523, 1.659523, 1.659523, 1.659523, 1.659523, 1.659523, 1.659523, 1.659523, 1.659523, 2.2869978, 2.2869978, 2.6349211, 2.6349211, 2.9013252, 2.9013252, 3.2442129, 3.2492485, 3.2492485, 3.2492485, 3.4027476, 3.5921361, 3.5921361, 3.5921361, 3.5921361, 3.5921361, 3.5921361, 3.6691518, 4.0120397, 4.0120397, 4.0170751, 4.0170751, 4.0170751, 4.186069, 4.3599629, 4.3599629, 4.3599629, 4.3599629, 4.3599629, 4.3599629, 4.3599629, 4.3599629, 4.3599629, 4.3599629, 4.3599629, 4.3599629, 4.5339923, 4.6445498, 4.6445498, 4.6445498, 4.6445498, 4.9924731, 5.1614671, 5.335361, 5.335361, 5.335361, 5.4123764, 5.4123764, 5.5093904, 5.7552643, 5.7552643, 5.7552643, 5.7552643, 5.9292936, 5.9292936, 6.1031876, 6.1031876, 6.1031876, 6.1031876, 6.1237178, 6.2772169, 6.4666052, 6.8915443, 6.8915443, 6.8915443, 6.8915443, 6.8915443, 7.2344317, 7.2344317, 7.5190191, 7.5190191, 7.8619065, 7.8669424, 7.8669424, 8.2098303, 8.2098303, 8.2868452, 8.6297331, 8.6297331, 8.6347685, 8.6347685, 8.9776564, 8.9776564, 8.9776564]",www.pubmed.com/19111667,Homeobox transcription factor; regulatory targets include genes involved in phosphate metabolism; binds cooperatively with Pho4p to the PHO5 promoter; phosphorylation of Pho2p facilitates interaction with Pho4p; relocalizes to the cytosol in response to hypoxia
S000006256,YPR052C,NHP6A,159.0,387.395050338,2.43644685747,"[0.016452663, 0.028522698, 0.03278387, 0.04472832, 0.057688482, 0.071520701, 0.085828491, 0.086686984, 0.10188797, 0.11591162, 0.13394029, 0.13426112, 0.13946334, 0.16260189, 0.19083448, 0.20591067, 0.20600452, 0.21075118, 0.27004412, 0.3404901, 0.34673163, 0.40571642, 0.46862435, 0.474987, 0.47707689, 0.52779907, 0.55810821, 0.58195013, 0.59160101, 0.60494125, 0.62124056, 0.62133837, 0.62976962, 0.64168656, 0.64776868, 0.65478009, 0.79849559, 0.84118128, 0.85144436, 0.85290623, 0.90108979, 0.90667069, 0.93695998, 0.95206559, 1.0153685, 1.0324239, 1.0443565, 1.0503514, 1.0738889, 1.0774355, 1.082512, 1.1110748, 1.1144423, 1.1378725, 1.1591808, 1.1960654, 1.2335613, 1.2447464, 1.2872548, 1.3262935, 1.3279572, 1.3567848, 1.386969, 1.3924768, 1.3973932, 1.4400343, 1.4456276, 1.4793527, 1.4851002, 1.4938562, 1.507401, 1.5230849, 1.5325084, 1.5363238, 1.5596123, 1.5882285, 1.6626159, 1.6904408, 1.8723823, 1.907022, 1.9144311, 1.9590635, 1.9950531, 2.0066359, 2.1129477, 2.1915195, 2.2170413, 2.2330391, 2.2860751, 2.300823, 2.3778815, 2.4077878, 2.4572735, 2.4695301, 2.507236, 2.523011, 2.5302896, 2.5400667, 2.5765319, 2.5777013, 2.6001346, 2.6187818, 2.6685627, 2.6856077, 2.7023852, 2.7051671, 2.735059, 2.793232, 2.8456252, 2.8937519, 2.9032698, 2.9560893, 2.988591, 3.0347524, 3.0761416, 3.0985024, 3.110157, 3.3186138, 3.3857446, 3.4196215, 3.5067832, 3.5712349, 3.6324661, 3.7909791, 3.872545, 3.9527445, 4.1288042, 4.1415668, 4.2771263, 4.3690009, 4.4883876, 4.526453, 4.5796742, 4.5990567, 4.611393, 4.8406034, 4.9097772, 4.9536757, 5.062499, 5.1559615, 5.1614122, 5.222847, 5.3985991, 5.4623613, 5.6033397, 5.6276393, 5.7405705, 5.8077798, 5.8428946, 5.9209075, 6.2070847, 6.5655465, 6.698246, 7.0658202, 7.3263373, 8.2020769, 9.0676565, 9.2451754, 12.231048]",www.pubmed.com/18842628,"High-mobility group (HMG) protein; binds to and remodels nucleosomes; involved in recruiting FACT and other chromatin remodelling complexes to chromosomes; functionally redundant with Nhp6Bp; required for transcriptional initiation fidelity of some tRNA genes; homologous to mammalian HMGB1 and HMGB2; NHP6A has a paralog, NHP6B, that arose from the whole genome duplication; protein abundance increases in response to DNA replication stress"
S000004395,YLR403W,SFP1,107.0,361.672063895,3.38011274668,"[0.064430267, 0.10914234, 0.14881591, 0.16505434, 0.33302122, 0.37037, 0.37787238, 0.42574292, 0.52714771, 0.53115898, 0.55029368, 0.5513683, 0.55795687, 0.5585708, 0.57746392, 0.6020394, 0.61141479, 0.65725744, 0.75487703, 0.79773164, 0.80638313, 0.89219141, 0.93098706, 1.0071692, 1.038919, 1.0452802, 1.2013671, 1.2223722, 1.3138405, 1.3255507, 1.3615268, 1.3616672, 1.3875414, 1.4329152, 1.4641416, 1.507305, 1.5277566, 1.6190836, 1.6308578, 1.7486401, 1.8068364, 1.8252493, 1.8327055, 1.9087831, 1.9120954, 2.0054264, 2.0176749, 2.0701132, 2.2031968, 2.4418685, 2.5187366, 2.608566, 2.691452, 2.6963096, 2.7484608, 2.7853854, 2.8000634, 2.9255912, 2.9748509, 3.0965919, 3.1719377, 3.3444057, 3.403512, 3.4728639, 3.4810345, 3.5033102, 3.6106772, 3.8208013, 3.952738, 4.0014911, 4.2310982, 4.3277698, 4.3362622, 4.4017825, 4.743021, 4.7535176, 4.8912067, 5.0055952, 5.0417762, 5.1959925, 5.2955718, 5.5839028, 5.6073122, 5.841104, 5.8630786, 5.8825407, 6.3722796, 6.3877845, 6.4759493, 6.5085273, 6.5918365, 6.7778225, 6.9843602, 6.989933, 7.0145521, 7.3063421, 7.3742943, 7.9069448, 7.9849439, 8.1594343, 8.3268518, 8.3360033, 8.6872873, 8.7525816, 9.1034775, 9.4337168, 10.465654]",www.pubmed.com/18842628,"Regulates transcription of ribosomal protein and biogenesis genes; regulates response to nutrients and stress, G2/M transitions during mitotic cell cycle and DNA-damage response, and modulates cell size; regulated by TORC1 and Mrs6p; sequence of zinc finger, ChIP localization data, and protein-binding microarray (PBM) data, and computational analyses suggest it binds DNA directly at highly active RP genes and indirectly through Rap1p at others; can form the [ISP+] prion"
S000000386,YBR182C,SMP1,143.0,340.480177498,2.38098026222,"[0.0024507344, 0.0032793642, 0.01695836, 0.032444883, 0.070577651, 0.10623559, 0.11234449, 0.16357207, 0.17233205, 0.19076575, 0.20728478, 0.2125306, 0.23508929, 0.24672632, 0.26061243, 0.29423514, 0.34919646, 0.36215305, 0.36508378, 0.4097223, 0.42712981, 0.43947464, 0.44654691, 0.48804766, 0.51143098, 0.55119115, 0.6096862, 0.61880076, 0.67285573, 0.69300258, 0.70288491, 0.71314436, 0.72721416, 0.72884297, 0.74972659, 0.78228557, 0.8285442, 0.91118437, 0.9272992, 0.95354015, 0.97929722, 0.99495637, 1.0887841, 1.1165202, 1.1401151, 1.203068, 1.2066523, 1.2538698, 1.2659664, 1.271433, 1.2767943, 1.3101734, 1.3861337, 1.3907286, 1.415839, 1.4179394, 1.4215088, 1.4350202, 1.4479342, 1.4895978, 1.5271291, 1.5430725, 1.5583149, 1.5785627, 1.6327074, 1.6448311, 1.6930885, 1.7140758, 1.7407157, 1.7770201, 1.8083129, 1.8515871, 1.9473486, 1.9536381, 2.0476093, 2.0810201, 2.0881398, 2.0956841, 2.1852987, 2.2005129, 2.2583601, 2.2973571, 2.3090217, 2.4022744, 2.428302, 2.4386683, 2.4582686, 2.4856565, 2.5161853, 2.5618963, 2.5986094, 2.612642, 2.620259, 2.6338739, 2.6921546, 2.6928241, 2.7509389, 2.8045001, 2.8189731, 2.8303056, 2.8344369, 2.8524055, 2.9064963, 3.0063322, 3.1316783, 3.1810203, 3.2373793, 3.3051512, 3.3893423, 3.5288825, 3.5718393, 3.6232951, 3.6885386, 3.8417056, 3.8447142, 4.0100031, 4.0160365, 4.0245323, 4.5006871, 4.530623, 4.5539012, 4.6294742, 4.6518197, 4.6682701, 4.6999521, 4.8468089, 5.0206943, 5.2979655, 5.3150544, 5.6099601, 5.7762685, 5.8573565, 6.1945996, 6.1956663, 6.2236209, 6.3659191, 6.533453, 6.7370963, 6.7843723, 7.1781545, 8.1666288, 8.3035583, 9.155983]",www.pubmed.com/18842628,"MADS-box transcription factor involved in osmotic stress response; SMP1 has a paralog, RLM1, that arose from the whole genome duplication"
S000005666,YOR140W,SFL1,100.0,315.842985628,3.15842985628,"[0.0035408454, 0.025468839, 0.029592244, 0.031919084, 0.040052459, 0.065419786, 0.12752143, 0.14307986, 0.15937622, 0.17459977, 0.18768997, 0.20198779, 0.2456796, 0.29870525, 0.31872448, 0.32576489, 0.3612904, 0.38106942, 0.38707325, 0.42410964, 0.5033465, 0.50900036, 0.5099296, 0.52723616, 0.58807701, 0.62765515, 0.62886721, 0.64542347, 0.65447831, 0.91583377, 0.94164807, 0.96552426, 1.0243698, 1.0494125, 1.2838764, 1.2941008, 1.3170995, 1.4587284, 1.4887381, 1.4904217, 1.5528551, 1.7006221, 1.8238968, 2.0232968, 2.0531545, 2.1278768, 2.1299191, 2.215497, 2.2893488, 2.3234491, 2.5721598, 2.5780256, 2.8234777, 2.896961, 2.9150677, 2.9910786, 3.0510044, 3.0785341, 3.2151856, 3.2777421, 3.3207302, 3.5303633, 3.6292562, 3.7607236, 3.7725399, 3.921412, 4.0024571, 4.2070851, 4.234201, 4.2999439, 4.4110298, 4.4629602, 4.5529137, 4.9061642, 4.9538074, 5.1457582, 5.4420834, 5.5507488, 5.6047091, 5.6096268, 5.6176043, 5.628406, 5.7121511, 6.0903249, 6.1506939, 6.2577486, 6.477994, 6.6496048, 6.663444, 7.133533, 7.4413228, 7.551652, 8.0382681, 8.0397158, 8.0398626, 8.1559048, 8.4886227, 9.5366316, 11.390257, 15.465145]",www.pubmed.com/18842628,"Transcriptional repressor and activator; involved in repression of flocculation-related genes, and activation of stress responsive genes; negatively regulated by cAMP-dependent protein kinase A subunit Tpk2p; premature stop codon (C1430T, Q477-stop) in SK1 background is linked to the aggressively invasive phenotype of SK1 relative to BY4741 (S288C)"
S000000661,YCR065W,HCM1,84.0,258.378068313,3.07592938468,"[0.054559566, 0.054559566, 0.13223447, 0.16437633, 0.32049552, 0.35297173, 0.355672, 0.37839505, 0.40295768, 0.40295768, 0.51271832, 0.55079317, 0.82426196, 0.87520051, 0.95166224, 1.056705, 1.0825739, 1.1032476, 1.1613423, 1.2468385, 1.307806, 1.3223649, 1.3299558, 1.3299558, 1.3738952, 1.5174861, 1.7027962, 1.7553244, 1.8871219, 1.8906946, 2.0177515, 2.1238222, 2.2062843, 2.2723737, 2.2790976, 2.2790976, 2.5713406, 2.5713406, 2.5788076, 2.6518838, 2.7052836, 2.9007356, 2.9192638, 2.9315162, 3.0463207, 3.0753829, 3.1163547, 3.1899114, 3.1899114, 3.1993718, 3.1997025, 3.2723737, 3.2723737, 3.2790976, 3.2830505, 3.3427136, 3.4277496, 3.4277496, 3.4883237, 3.7471905, 3.7756729, 3.8787098, 3.8854337, 3.9162297, 3.9229536, 4.0570388, 4.2512331, 4.3973112, 4.7353973, 4.8823996, 4.9447989, 4.9447989, 5.0920796, 6.27178, 6.6197038, 6.9437509, 7.2704167, 7.550087, 7.6166697, 8.6161766, 8.6452389, 8.8489532, 8.9976053, 9.3455286]",www.pubmed.com/19111667,"Forkhead transcription factor; drives S-phase activation of genes involved in chromosome segregation, spindle dynamics, budding; also activates genes involved in respiration, use of alternative energy sources (like proline), NAD synthesis, oxidative stress resistance; key factor in early adaptation to nutrient deficiency and diauxic shift; suppressor of calmodulin mutants with specific SPB assembly defects; ortholog of C. elegans lifespan regulator PHA-4"
S000002718,YDR310C,SUM1,47.0,248.117418244,5.2790940052,"[0.089968011, 0.11987624, 0.39788038, 0.52667344, 1.3652807, 1.9239786, 2.1723206, 2.2126703, 2.3293612, 2.4026322, 3.134846, 3.2250941, 3.250145, 3.7837715, 3.8962657, 3.9010174, 3.9010174, 3.9214423, 4.0921836, 4.1896386, 4.2391334, 4.2827449, 4.3243809, 4.5519209, 4.8888426, 4.8888426, 5.7362323, 5.7362323, 5.7547927, 5.7811298, 6.2825928, 6.6128497, 7.0489163, 7.0615954, 7.2451181, 7.4198275, 7.9283285, 8.0114412, 8.1190939, 8.628768, 9.3046923, 9.5302515, 9.8236952, 10.687634, 10.714676, 10.853928, 11.823695]",www.pubmed.com/19111667,"Transcriptional repressor that regulates middle-sporulation genes; required for mitotic repression of middle sporulation-specific genes; also acts as general replication initiation factor; involved in telomere maintenance, chromatin silencing; regulated by pachytene checkpoint"
S000005639,YOR113W,AZF1,21.0,177.005682468,8.42884202231,"[0.75396109, 2.686847, 3.0308013, 3.3348191, 6.093811, 6.9238863, 7.0308013, 7.0393634, 7.7312412, 8.3706512, 8.3706512, 8.5088482, 8.8340521, 9.3162031, 10.647491, 11.593043, 13.071091, 13.071091, 13.071091, 13.762969, 13.762969]",www.pubmed.com/19111667,"Zinc-finger transcription factor; involved in diauxic shift; in the presence of glucose, activates transcription of genes involved in growth and carbon metabolism; in nonfermentable carbon sources, activates transcription of genes involved in maintenance of cell wall integrity; relocalizes to the cytosol in response to hypoxia"
S000004003,YLR013W,GAT3,72.0,170.655294761,2.37021242724,"[0.038680855, 0.061400931, 0.26639676, 0.29617709, 0.33027622, 0.38660416, 0.39889166, 0.42402866, 0.54019767, 0.56679749, 0.63327569, 0.63702238, 0.69403267, 0.72582841, 0.75244194, 0.83744508, 0.89437217, 0.93015641, 1.0362542, 1.0386809, 1.058759, 1.0614009, 1.1053756, 1.1915324, 1.2342494, 1.3551099, 1.4065453, 1.4230334, 1.4375329, 1.4412667, 1.4419603, 1.4843272, 1.6757319, 1.7108357, 1.7585729, 1.8100564, 1.873486, 1.9455714, 1.9844007, 2.0510645, 2.2225592, 2.3240831, 2.3725357, 2.4685023, 2.4887447, 2.7378933, 2.783469, 2.8020973, 2.897356, 2.9317656, 2.9710026, 3.0832119, 3.2360561, 3.3468032, 3.4737964, 3.5653636, 3.7030332, 3.8532701, 3.8634241, 3.888834, 3.9148462, 4.218874, 4.2358861, 4.5167279, 4.9090457, 5.2462811, 5.2771826, 5.5870771, 5.6928053, 5.9400725, 8.901392, 9.261529]",www.pubmed.com/19111667,"Protein containing GATA family zinc finger motifs; involved in spore wall assembly; sequence similarity to GAT4, and the double mutant gat3 gat4 exhibits reduced dityrosine fluorescence relative to the single mutants"
