,Gene Feature Name,Common Name,Number of Hits,Total Sum of Scores,Avg. Score per Hit,List of Scores,Gene Description
S000007276,Q0142,,37.0,201.134931713,5.4360792355,"[0.16955335, 0.16955335, 0.29508424, 1.0578283, 1.0578283, 2.0578282, 2.2950842, 2.4105616, 2.7359002, 2.7359002, 2.7359002, 2.7359002, 4.6390386, 4.6390386, 4.6390386, 4.8614311, 4.8614311, 4.9769082, 4.9769082, 5.7545156, 5.7545156, 5.7545156, 5.7545156, 7.2019749, 7.2019749, 7.2019749, 7.2019749, 8.3208628, 8.3208628, 8.3208628, 8.3208628, 8.5804863, 10.561871, 10.561871, 10.561871, 10.561871, 11.146833]","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps dubious open reading frame Q0143"
S000007277,Q0143,,36.0,196.725645259,5.4646012572,"[0.16955335, 0.88004673, 1.0578283, 1.0578283, 2.0578282, 2.2950842, 2.7359002, 2.7359002, 2.7359002, 2.7359002, 3.3208628, 3.6979322, 4.6390386, 4.6390386, 4.6390386, 4.8614311, 4.8614311, 4.9769082, 4.9769082, 5.7545156, 5.7545156, 5.7545156, 5.7545156, 6.3495321, 7.2019749, 7.2019749, 7.2019749, 8.3208628, 8.3208628, 8.3208628, 8.3208628, 10.561871, 10.561871, 10.561871, 10.561871, 11.146833]","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"
S000003874,YJR113C,RSM7,31.0,193.265689991,6.2343770965,"[0.086497612, 0.16955335, 0.29508424, 1.5015351, 1.6170124, 1.7359002, 2.2950842, 4.2988362, 4.9769082, 4.9769082, 5.5618706, 5.5618706, 5.7545156, 6.8800468, 8.3208628, 8.3208628, 8.3208628, 8.3208628, 8.3208628, 8.3208628, 8.3208628, 8.3208628, 8.3208628, 8.3208628, 8.3208628, 8.3208628, 8.3208628, 8.3208628, 9.3532839, 10.561871, 11.146833]",Mitochondrial ribosomal protein of the small subunit; has similarity to E. coli S7 ribosomal protein
S000003876,YJR115W,,31.0,193.265689991,6.2343770965,"[0.086497612, 0.16955335, 0.29508424, 1.5015351, 1.6170124, 1.7359002, 2.2950842, 4.2988362, 4.9769082, 4.9769082, 5.5618706, 5.5618706, 5.7545156, 6.8800468, 8.3208628, 8.3208628, 8.3208628, 8.3208628, 8.3208628, 8.3208628, 8.3208628, 8.3208628, 8.3208628, 8.3208628, 8.3208628, 8.3208628, 8.3208628, 8.3208628, 9.3532839, 10.561871, 11.146833]","Putative protein of unknown function; YJR115W has a paralog, ECM13, that arose from the whole genome duplication"
S000007281,Q0250,COX2,34.0,178.810176246,5.25912283076,"[0.086497612, 0.16955335, 0.16955335, 0.16955335, 0.29508424, 0.50153512, 0.88004673, 2.7359002, 2.7359002, 2.7359002, 2.7359002, 3.2988365, 3.9609668, 3.9769082, 4.6390386, 4.8614311, 4.8614311, 4.9769082, 5.7545156, 5.7545156, 7.2019749, 7.2019749, 7.2019749, 7.2019749, 7.6427908, 7.6427908, 7.9955239, 8.5804863, 10.031356, 10.561871, 10.561871, 10.561871, 10.561871, 10.561871]",Subunit II of cytochrome c oxidase (Complex IV); Complex IV is the terminal member of the mitochondrial inner membrane electron transport chain; one of three mitochondrially-encoded subunits
S000007326,TM(CAU)Q2,,30.0,171.502351016,5.71674503386,"[0.16955335, 0.16955335, 0.29508424, 0.50153512, 1.0578283, 2.4105616, 2.7359002, 2.7359002, 2.7359002, 4.6390386, 4.8614311, 4.8614311, 4.9769082, 5.7545156, 5.7545156, 5.7545156, 6.6714602, 7.2019749, 7.2019749, 8.3208628, 8.3208628, 8.3208628, 8.3208628, 8.3208628, 8.5804863, 8.5804863, 10.561871, 10.561871, 10.561871, 10.561871]",Mitochondrial formylated methionine tRNA (tRNA-fMet); predicted by tRNAscan-SE analysis
S000005360,YNR077C,,39.0,166.022459388,4.25698613815,"[0.34953201, 2.3208628, 3.4463935, 3.4463935, 3.6979322, 4.0313559, 4.0313559, 4.0313559, 4.0313559, 4.0313559, 4.0313559, 4.0313559, 4.0313559, 4.0313559, 4.0313559, 4.0313559, 4.0313559, 4.0313559, 4.0313559, 4.0313559, 4.0313559, 4.0313559, 4.0313559, 4.0313559, 4.0313559, 4.0313559, 4.0313559, 4.0313559, 4.0313559, 4.0313559, 4.0313559, 4.0313559, 4.0313559, 4.0313559, 4.4463935, 6.3495321, 6.3495321, 9.3532839, 9.3532839]","Protein of unknown function, abundance changes with carbon source"
S000000979,YER177W,BMH1,28.0,153.755339637,5.49126212991,"[0.16955335, 0.23850071, 0.50153512, 1.0578283, 1.2950842, 1.6170124, 1.6170124, 1.7359002, 1.7359002, 3.9609668, 4.4463935, 5.2240009, 5.7545156, 6.6714602, 7.6427908, 7.9955239, 8.3208628, 8.3208628, 8.3208628, 8.3208628, 8.3208628, 8.3208628, 8.3208628, 8.3208628, 8.3208628, 8.3208628, 8.3208628, 10.561871]","14-3-3 protein, major isoform; controls proteome at post-transcriptional level, binds proteins and DNA, involved in regulation of exocytosis, vesicle transport, Ras/MAPK and rapamycin-sensitive signaling, aggresome formation, spindle position checkpoint; protein increases in abundance and relative distribution to the nucleus increases upon DNA replication stress; antiapoptotic gene similar to human 14-3-3; BMH1 has a paralog, BMH2, that arose from whole genome duplication"
S000007278,Q0144,,29.0,152.132470533,5.24594725977,"[0.16955335, 0.16955335, 0.16955335, 0.29508424, 0.50153512, 1.2950842, 1.7359002, 1.7359002, 2.4105616, 3.4463935, 3.9769082, 4.5618706, 4.9769082, 5.7545156, 5.9389405, 6.3394785, 6.3495321, 6.8800468, 6.8800468, 7.2019749, 7.2019749, 7.2019749, 8.3208628, 8.3208628, 8.5804863, 10.031356, 10.561871, 10.561871, 10.561871]","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"
S000007328,TP(UGG)Q,,31.0,139.351995721,4.49522566843,"[0.16955335, 0.29508424, 0.50153512, 0.50153512, 0.50153512, 0.88004673, 1.0578283, 1.179607, 1.7359002, 1.7359002, 2.4105616, 2.7359002, 3.9609668, 4.6390386, 4.6390386, 4.8614311, 4.8614311, 4.8614311, 4.9769082, 4.9769082, 5.7545156, 7.2019749, 7.2019749, 7.6427908, 7.6427908, 8.3208628, 8.3208628, 8.3208628, 8.3208628, 8.5804863, 10.561871]",Mitochondrial proline tRNA (tRNA-Pro)
