,Gene Feature Name,Common Name,Number of Hits,Total Sum of Scores,Avg. Score per Hit,List of Scores,Gene Description
S000006760,TV(AAC)K1,,8.0,78.9364728928,9.8670591116,"[7.7976122, 8.672081, 9.2570438, 9.5842085, 9.7716169, 10.697617, 11.112654, 12.04364]","Valine tRNA (tRNA-Val), predicted by tRNAscan-SE analysis"
S000028524,YKL068W-A,,8.0,78.9364728928,9.8670591116,"[7.7976122, 8.672081, 9.2570438, 9.5842085, 9.7716169, 10.697617, 11.112654, 12.04364]",Putative protein of unknown function; identified by homology to <i>Ashbya gossypii</i>
S000003093,YGL125W,MET13,7.0,76.3728909492,10.9104129927,"[6.5752196, 10.598081, 10.925245, 11.458677, 11.558213, 11.773242, 13.484213]","Major isozyme of methylenetetrahydrofolate reductase; catalyzes the reduction of 5,10-methylenetetrahydrofolate to 5-methyltetrahydrofolate in the methionine biosynthesis pathway"
S000003748,YJL212C,OPT1,6.0,67.6199483871,11.2699913979,"[9.3565798, 10.069635, 10.697617, 11.112654, 12.89925, 13.484213]",Proton-coupled oligopeptide transporter of the plasma membrane; also transports glutathione and phytochelatin; member of the OPT family
S000003392,YGR160W,,6.0,63.2718362808,10.5453060468,"[7.7976122, 10.925245, 10.925245, 10.925245, 11.287816, 11.410672]","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"
S000003390,YGR158C,MTR3,6.0,63.2718362808,10.5453060468,"[7.7976122, 10.925245, 10.925245, 10.925245, 11.287816, 11.410672]",Exosome non-catalytic core component; involved in 3'-5' RNA processing and degradation in both the nucleus and the cytoplasm; has similarity to E. coli RNase PH and to human hMtr3p (EXOSC6)
S000003152,YGL184C,STR3,6.0,61.0037374496,10.1672895749,"[6.7976122, 9.3565798, 10.069635, 10.697617, 10.697617, 13.384677]",Peroxisomal cystathionine beta-lyase; converts cystathionine into homocysteine; may be redox regulated by Gto1p; involved in the release of the aromatic thiol 3-mercaptohexanol during wine fermentation
S000004888,YMR275C,BUL1,6.0,60.0283799171,10.0047299862,"[7.0606465, 9.3618164, 9.8472433, 10.112654, 11.773242, 11.872778]","Ubiquitin-binding component of the Rsp5p E3-ubiquitin ligase complex; disruption causes temperature-sensitive growth, overexpression causes missorting of amino acid permeases; BUL1 has a paralog, BUL2, that arose from the whole genome duplication"
S000003978,YLL055W,YCT1,6.0,59.5360913277,9.92268188794,"[6.5752196, 9.9866457, 10.35658, 10.531741, 10.973251, 11.112654]",High-affinity cysteine-specific transporter; has similarity to the Dal5p family of transporters; green fluorescent protein (GFP)-fusion protein localizes to the endoplasmic reticulum; YCT1 is not an essential gene
S000005724,YOR198C,BFR1,6.0,54.9498772621,9.15831287702,"[7.1601825, 7.7976122, 8.138649, 8.7451448, 9.7236118, 13.384677]",Component of mRNP complexes associated with polyribosomes; involved in localization of mRNAs to P bodies; implicated in secretion and nuclear segregation; multicopy suppressor of BFA (Brefeldin A) sensitivity
S000002562,YDR155C,CPR1,6.0,52.750805378,8.79180089633,"[7.0606465, 7.1601825, 7.3825746, 8.6240759, 10.925245, 11.598081]",Cytoplasmic peptidyl-prolyl cis-trans isomerase (cyclophilin); catalyzes the cis-trans isomerization of peptide bonds N-terminal to proline residues; binds the drug cyclosporin A; N-terminally propionylated in vivo; protein abundance increases in response to DNA replication stress
S000002564,YDR157W,,6.0,52.750805378,8.79180089633,"[7.0606465, 7.1601825, 7.3825746, 8.6240759, 10.925245, 11.598081]","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"
S000003287,YGR055W,MUP1,6.0,52.6544213295,8.77573688825,"[6.5752196, 6.7976122, 8.138649, 9.2570438, 10.598081, 11.287816]",High affinity methionine permease; integral membrane protein with 13 putative membrane-spanning regions; also involved in cysteine uptake
S000001330,YIL068C,SEC6,6.0,51.486395359,8.58106589317,"[6.2126498, 8.138649, 8.160182, 9.138649, 9.7236118, 10.112654]",Essential 88kDa subunit of the exocyst complex; the exocyst mediates polarized targeting and tethering of post-Golgi secretory vesicles to active sites of exocytosis at the plasma membrane prior to SNARE-mediated fusion; anchors the assembled complex to sites of secretion; interacts with SM-like protein and SNARE regulator Sec1p and may recruit it to sites of secretion; binds to SNARE complexes binteracting with Sec9p
S000001631,YKL148C,SDH1,6.0,51.147922039,8.52465367317,"[7.2126498, 8.138649, 8.6240759, 8.9866457, 8.9992466, 9.186655]",Flavoprotein subunit of succinate dehydrogenase; couples the oxidation of succinate to the transfer of electrons to ubiquinone as part of the TCA cycle and the mitochondrial respiratory chain; FAD binding to Sdh1p is required for the assembly of the succinate dehydrogenase subunits; mutations in human ortholog SDHA are associated with Leigh syndrome
S000001143,YHR101C,BIG1,5.0,49.3527498245,9.8705499649,"[8.138649, 8.7716169, 9.7716169, 9.7716169, 12.89925]","Integral membrane protein of the endoplasmic reticulum; required for normal content of cell wall beta-1,6-glucan"
S000003205,YGL236C,MTO1,5.0,49.1978464127,9.83956928253,"[8.138649, 8.5012197, 9.186655, 11.598081, 11.773242]",Mitochondrial protein; forms heterodimer complex with Mss1p that performs 5-carboxymethylaminomethyl modification of the wobble uridine base in mitochondrial tRNAs; required for respiration in paromomycin-resistant 15S rRNA mutants; human homolog MTO1 can complement yeast null mutant
S000003203,YGL234W,"ADE5,7",5.0,49.1978464127,9.83956928253,"[8.138649, 8.5012197, 9.186655, 11.598081, 11.773242]",Enzyme of the 'de novo' purine nucleotide biosynthetic pathway; contains aminoimidazole ribotide synthetase and glycinamide ribotide synthetase activities
S000002357,YDL198C,GGC1,5.0,48.4390969276,9.68781938553,"[7.1601825, 8.672081, 10.598081, 10.598081, 11.410672]",Mitochondrial GTP/GDP transporter; essential for mitochondrial genome maintenance; has a role in mitochondrial iron transport; member of the mitochondrial carrier family
S000002895,YDR487C,RIB3,5.0,48.2193803787,9.64387607574,"[8.186655, 8.5012197, 9.5012197, 10.432205, 11.598081]","3,4-dihydroxy-2-butanone-4-phosphate synthase (DHBP synthase); required for riboflavin biosynthesis from ribulose-5-phosphate, also has an unrelated function in mitochondrial respiration"
S000003185,YGL217C,,5.0,47.9388604164,9.58777208328,"[7.3825746, 7.7451448, 10.112654, 10.925245, 11.773242]","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF KIP3/YGL216W"
S000002561,YDR154C,,5.0,47.5166220665,9.5033244133,"[7.3825746, 8.6240759, 8.9866457, 10.925245, 11.598081]","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; null mutant exhibits synthetic phenotype with alpha-synuclein"
S000000010,YAL012W,CYS3,4.0,46.5657525063,11.6414381266,"[6.6980767, 12.89925, 13.484213, 13.484213]",Cystathionine gamma-lyase; catalyzes one of the two reactions involved in the transsulfuration pathway that yields cysteine from homocysteine with the intermediary formation of cystathionine; protein abundance increases in response to DNA replication stress
S000004061,YLR071C,RGR1,5.0,46.1359682083,9.22719364166,"[6.7976122, 8.138649, 8.5012197, 10.925245, 11.773242]","Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; required for glucose repression, HO repression, RME1 repression and sporulation"
S000004795,YMR183C,SSO2,5.0,45.5446691513,9.10893383026,"[7.7976122, 8.7716169, 9.2570438, 9.3618164, 10.35658]","Plasma membrane t-SNARE; involved in fusion of secretory vesicles at the plasma membrane; syntaxin homolog that is functionally redundant with Sso1p; SSO2 has a paralog, SSO1, that arose from the whole genome duplication"
S000004797,YMR185W,RTP1,5.0,45.5446691513,9.10893383026,"[7.7976122, 8.7716169, 9.2570438, 9.3618164, 10.35658]","Protein required for the nuclear import and biogenesis of RNA pol II; conflicting evidence on whether null mutant is viable with elongated buds, or inviable; interacts with Rpb2, Rpb3, Nup116p, Nup100p and components of the R2TP complex (Rvb1p, Rvb2p, Pih1p); similar to human TMCO7 gene"
S000000786,YEL060C,PRB1,5.0,44.9385466576,8.98770933151,"[7.3825746, 7.7976122, 8.6240759, 9.6240759, 11.510208]","Vacuolar proteinase B (yscB) with H3 N-terminal endopeptidase activity; serine protease of the subtilisin family; involved in protein degradation in the vacuole and required for full protein degradation during sporulation; activity inhibited by Pbi2p; protein abundance increases in response to DNA replication stress; PRB1 has a paralog, YSP3, that arose from the whole genome duplication"
S000005595,YOR069W,VPS5,5.0,44.8263349533,8.96526699066,"[7.1601825, 7.5752196, 8.6456089, 9.8472433, 11.598081]","Nexin-1 homolog; required for localizing membrane proteins from a prevacuolar/late endosomal compartment back to late Golgi; structural component of retromer membrane coat complex; forms a retromer subcomplex with Vps17p; required for recruiting the retromer complex to the endosome membranes; VPS5 has a paralog, YKR078W, that arose from the whole genome duplication"
S000005322,YNR039C,ZRG17,5.0,44.7780313492,8.95560626984,"[6.7976122, 8.6240759, 8.9866457, 9.672081, 10.697617]",Endoplasmic reticulum zinc transporter; part of a heterodimeric transporter with Msc2p that transfers zinc from the cytosol to the ER lumen; member of the cation diffusion facilitator family of efflux pumps; zinc-regulated directly through Zap1p; transcription induced under conditions of zinc deficiency
S000000785,YEL059W,HHY1,5.0,44.7686219215,8.95372438431,"[7.2126498, 7.7976122, 8.6240759, 9.6240759, 11.510208]",Dubious open reading frame unlikely to encode a functional protein; mutant is hypersensitive to hygromycin B indicative of defects in vacuolar trafficking
S000005185,YNL241C,ZWF1,4.0,43.8327713013,10.9581928253,"[9.138649, 11.410672, 11.410672, 11.872778]",Glucose-6-phosphate dehydrogenase (G6PD); catalyzes the first step of the pentose phosphate pathway; involved in adapting to oxidative stress; protein abundance increases in response to DNA replication stress; homolog of human G6PD which is deficient in patients with hemolytic anemia; human G6PD can complement yeast zwf1 null mutant
S000005305,YNR022C,MRPL50,5.0,43.8071784973,8.76143569946,"[6.2126498, 7.6456094, 8.138649, 10.112654, 11.697617]",Mitochondrial ribosomal protein of the large subunit; not essential for mitochondrial translation
S000004392,YLR400W,,4.0,43.243347168,10.810836792,"[9.8472433, 10.598081, 10.925245, 11.872778]","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"
