,TF Feature Name,TF Common Name,Number of Hits,Total Sum of Scores,Avg. Score per Hit,List of Scores,Medline,TF Description
S000002157,YBR089C-A,NHP6B,367.0,1095.93042319,2.98618643922,"[0.001264986, 0.011394859, 0.018271422, 0.026190905, 0.029656984, 0.030356495, 0.038859956, 0.049819604, 0.053020563, 0.053432502, 0.059686173, 0.063191198, 0.083890133, 0.084776476, 0.09641543, 0.11651893, 0.13539824, 0.17483151, 0.17521502, 0.18159521, 0.19027671, 0.20811272, 0.22496618, 0.23042637, 0.24315719, 0.24608012, 0.27049118, 0.27085128, 0.27128127, 0.29662806, 0.3043012, 0.30713788, 0.3119615, 0.31635633, 0.32000297, 0.33085421, 0.33736035, 0.34755391, 0.36828566, 0.37255555, 0.38147339, 0.3867794, 0.40618858, 0.40657669, 0.41698402, 0.43131563, 0.44089472, 0.45637462, 0.47654381, 0.48921067, 0.49966666, 0.51256484, 0.51351064, 0.53666019, 0.54191631, 0.5459857, 0.5532214, 0.55796969, 0.57638896, 0.59738284, 0.60105538, 0.61275059, 0.63156021, 0.63547587, 0.66594338, 0.67208523, 0.67445433, 0.7055698, 0.70670712, 0.7125783, 0.71288657, 0.71559584, 0.72134483, 0.73282981, 0.73460406, 0.77884275, 0.77974319, 0.78471637, 0.79180694, 0.79895419, 0.86737341, 0.89043856, 0.89408559, 0.89513886, 0.89662653, 0.92280197, 0.92343718, 0.92402142, 0.93116337, 0.94105935, 0.9508701, 0.95321703, 0.97349048, 0.97887993, 1.0040855, 1.0901735, 1.1344918, 1.1385258, 1.1427914, 1.15701, 1.1612272, 1.1676511, 1.1750606, 1.1920838, 1.2096002, 1.2160331, 1.2318531, 1.2380631, 1.2412853, 1.2431223, 1.2468219, 1.2532805, 1.2750232, 1.2875502, 1.3195031, 1.3209668, 1.3247433, 1.3360856, 1.3372931, 1.3459884, 1.3586757, 1.3657881, 1.3723549, 1.3744946, 1.3763386, 1.3796557, 1.3874997, 1.3966403, 1.4106474, 1.4118634, 1.4403762, 1.4414899, 1.4526229, 1.4604424, 1.4749348, 1.4854901, 1.4907749, 1.4974843, 1.500429, 1.5145386, 1.5208366, 1.5241765, 1.5258691, 1.5355144, 1.5356441, 1.5469666, 1.5481879, 1.5488507, 1.5559298, 1.5585148, 1.5693684, 1.5710022, 1.5774827, 1.5841633, 1.6201689, 1.6248314, 1.6456234, 1.648012, 1.6598911, 1.6989765, 1.7402782, 1.7582886, 1.7586462, 1.7842168, 1.8094563, 1.8096173, 1.8357526, 1.889605, 1.9110297, 1.9219658, 1.9346313, 1.9372017, 1.9560958, 1.9752209, 1.9788116, 2.0031433, 2.0063131, 2.0129936, 2.0273066, 2.0864251, 2.1254511, 2.1622827, 2.2089844, 2.2175543, 2.2217088, 2.2488708, 2.2924747, 2.2931478, 2.3322124, 2.3333359, 2.3503456, 2.3703432, 2.3738375, 2.4011798, 2.4213157, 2.4598949, 2.4679825, 2.4718161, 2.4742749, 2.4801998, 2.4970191, 2.5321186, 2.5685034, 2.628495, 2.6371193, 2.6479845, 2.6559167, 2.6846228, 2.708715, 2.7189672, 2.7730565, 2.8069613, 2.8096218, 2.8137844, 2.8188236, 2.8281515, 2.8415143, 2.9526539, 2.9737833, 3.0114233, 3.018595, 3.0390666, 3.0710115, 3.1018798, 3.1031044, 3.1091959, 3.1161323, 3.1238561, 3.1827328, 3.1991396, 3.2023466, 3.2192159, 3.2220879, 3.2284989, 3.2460277, 3.2529378, 3.2643902, 3.3516271, 3.3581259, 3.3582962, 3.372364, 3.3760107, 3.4098046, 3.4862459, 3.5142167, 3.5457282, 3.5855725, 3.6309743, 3.6320889, 3.6563265, 3.6786232, 3.7190988, 3.7548556, 3.7845025, 3.7928643, 3.8020675, 3.8322272, 3.8679628, 3.8771636, 3.9627316, 3.9634707, 3.9745176, 4.002471, 4.0289526, 4.0438318, 4.0663638, 4.0699983, 4.0844736, 4.1246715, 4.1328163, 4.1413784, 4.1585813, 4.1687813, 4.1877828, 4.2415524, 4.2451677, 4.2650518, 4.3190894, 4.4039965, 4.439662, 4.4620543, 4.4628754, 4.4912195, 4.5022306, 4.567585, 4.6456404, 4.6633172, 4.698401, 4.745173, 4.7578301, 4.7703247, 4.7789764, 4.8192511, 4.8268933, 4.8376169, 4.8638835, 4.8806434, 4.8998561, 4.9095974, 4.9454002, 5.0663996, 5.0867181, 5.1164312, 5.1240549, 5.2117014, 5.2361226, 5.2434115, 5.3066745, 5.3086147, 5.3303671, 5.3564234, 5.3611383, 5.4289646, 5.4638033, 5.6981702, 5.7533236, 5.8075175, 5.8308029, 5.8665195, 5.9041843, 5.9465795, 5.9545407, 6.1380334, 6.1441393, 6.218657, 6.2215223, 6.2727613, 6.2800446, 6.2972851, 6.3885117, 6.4056177, 6.5671167, 6.8069391, 6.8524466, 6.9076653, 7.0042081, 7.0884581, 7.138185, 7.4811153, 7.6111503, 7.7252312, 7.7876, 7.9040632, 7.9847293, 8.2014656, 8.4181147, 8.4573221, 8.545249, 8.8277874, 8.8435488, 8.9272156, 8.9812288, 9.5470371, 9.7983799, 9.8212233, 9.9115925, 10.054099, 10.323592, 10.450645, 10.503683, 10.833596, 10.888561, 10.956826, 11.208541, 12.246245, 12.281069, 15.80592]",www.pubmed.com/18842628,"High-mobility group (HMG) protein; binds to and remodels nucleosomes; involved in recruiting FACT and other chromatin remodelling complexes to the chromosomes; functionally redundant with Nhp6Ap; required for transcriptional initiation fidelity of some tRNA genes; homologous to mammalian HMGB1 and HMGB2; NHP6B has a paralog, NHP6A, that arose from the whole genome duplication"
S000006256,YPR052C,NHP6A,210.0,716.803477254,3.41334989168,"[0.018226821, 0.057118826, 0.10663443, 0.11609995, 0.12768909, 0.1951464, 0.2122484, 0.22482285, 0.23144765, 0.23385972, 0.23610891, 0.25369719, 0.25487122, 0.31975883, 0.32038364, 0.36639091, 0.37745029, 0.39768249, 0.41026613, 0.42964056, 0.45724732, 0.4638142, 0.47178736, 0.49432558, 0.53274667, 0.57724679, 0.6260488, 0.6353634, 0.63676459, 0.6388312, 0.64601743, 0.65069848, 0.66243488, 0.67711967, 0.72876114, 0.75069451, 0.80822521, 0.82134634, 0.85399574, 0.88080096, 0.9318549, 0.97089374, 0.99443614, 1.0311527, 1.0593307, 1.0770615, 1.0771841, 1.0977268, 1.1021315, 1.106292, 1.1139092, 1.1151854, 1.1310141, 1.1658353, 1.1755707, 1.2023697, 1.2155662, 1.2638888, 1.2645382, 1.2717421, 1.2840079, 1.2852967, 1.288761, 1.3010072, 1.3363886, 1.3626668, 1.4175953, 1.4186366, 1.4342805, 1.4863533, 1.4902271, 1.4997394, 1.5084045, 1.5364507, 1.5820212, 1.5940548, 1.5945148, 1.6096547, 1.6479201, 1.6550115, 1.6759229, 1.7011824, 1.7086082, 1.7543551, 1.7734883, 1.7990724, 1.8137758, 1.8191626, 1.8565975, 1.8787534, 1.9022276, 1.9112334, 1.9864628, 1.9969345, 2.0006151, 2.0768435, 2.078177, 2.1271703, 2.1310432, 2.131114, 2.1834159, 2.2077305, 2.2560668, 2.2808981, 2.2925887, 2.2961466, 2.4167194, 2.4202051, 2.4362307, 2.5478613, 2.6385822, 2.7156248, 2.7308762, 2.8078067, 2.8147819, 2.9060049, 2.9233732, 2.9421687, 2.9781842, 3.0053222, 3.0094545, 3.0582204, 3.1475294, 3.1619186, 3.3468084, 3.3631859, 3.485954, 3.5452764, 3.5589471, 3.5739732, 3.6443665, 3.7953722, 3.8240426, 3.8376102, 3.8772466, 3.8790219, 3.9919913, 4.0215898, 4.1094193, 4.2107916, 4.2528629, 4.2535405, 4.2594347, 4.2924109, 4.2963076, 4.4355421, 4.4957304, 4.5500498, 4.6137042, 4.6165915, 4.6436386, 4.6733313, 4.751636, 4.8613577, 4.9281206, 4.9916658, 5.0352697, 5.0497375, 5.1340809, 5.1991072, 5.2679949, 5.3031983, 5.3983164, 5.4594622, 5.4938884, 5.4995565, 5.6602931, 5.6815138, 5.7428985, 5.7470369, 5.883985, 5.9262114, 5.9596825, 6.0713701, 6.0916533, 6.1019049, 6.1089816, 6.2386112, 6.2500334, 6.5566316, 6.6069427, 6.6727691, 6.692503, 6.7079897, 6.748354, 7.2167807, 7.2698936, 7.4288683, 7.5256619, 7.5401464, 7.6418262, 7.7156887, 8.1048737, 8.2697649, 8.3028193, 8.6155071, 8.9262552, 9.6234417, 9.7779617, 9.9743128, 10.187716, 10.290733, 10.869088, 10.944399, 11.048591, 11.22725, 11.793873, 12.864117, 12.95527, 15.512197]",www.pubmed.com/18842628,"High-mobility group (HMG) protein; binds to and remodels nucleosomes; involved in recruiting FACT and other chromatin remodelling complexes to chromosomes; functionally redundant with Nhp6Bp; required for transcriptional initiation fidelity of some tRNA genes; homologous to mammalian HMGB1 and HMGB2; NHP6A has a paralog, NHP6B, that arose from the whole genome duplication; protein abundance increases in response to DNA replication stress"
S000000386,YBR182C,SMP1,190.0,522.743728363,2.75128278086,"[0.012460121, 0.016073473, 0.024405591, 0.086500511, 0.091469184, 0.20000249, 0.22080804, 0.22850886, 0.25217667, 0.26146439, 0.26452047, 0.33158934, 0.35726586, 0.36310965, 0.36777586, 0.36779058, 0.4034135, 0.41029578, 0.4121643, 0.44325545, 0.45120108, 0.47787333, 0.47838932, 0.4941918, 0.50312692, 0.55183828, 0.5612362, 0.57572764, 0.63143498, 0.63322204, 0.65046495, 0.6698364, 0.67018485, 0.67576778, 0.7075662, 0.71420664, 0.7696712, 0.77320945, 0.77536315, 0.79061925, 0.81110644, 0.88349926, 0.88392121, 0.89049113, 0.93644506, 0.97065288, 0.98431534, 1.0130219, 1.0651941, 1.1063643, 1.1069642, 1.1671478, 1.1699802, 1.1993114, 1.2035608, 1.2170942, 1.2175288, 1.2588477, 1.2877256, 1.3461279, 1.3674017, 1.3944877, 1.4003503, 1.4091408, 1.4402355, 1.4481353, 1.4963492, 1.5101291, 1.5500504, 1.5581708, 1.6314055, 1.669206, 1.6734574, 1.6776048, 1.678687, 1.6847171, 1.7172699, 1.7280096, 1.8155276, 1.8161031, 1.8195009, 1.8265177, 1.8537084, 1.9245511, 1.980971, 1.9899541, 2.0716214, 2.0754442, 2.0831139, 2.0933034, 2.1108286, 2.1275735, 2.2149684, 2.2154989, 2.2245231, 2.2395532, 2.2677379, 2.3116527, 2.3918557, 2.405133, 2.4895008, 2.4945977, 2.5535789, 2.5585318, 2.5897865, 2.5919952, 2.596869, 2.5970488, 2.6048019, 2.6664274, 2.6707277, 2.7014494, 2.7494681, 2.7524877, 2.7550418, 2.8159349, 2.8168459, 2.8384509, 2.88256, 2.8910975, 2.9013293, 2.9709518, 2.9871824, 3.0081825, 3.0155103, 3.0659671, 3.096323, 3.0987678, 3.1403728, 3.1496835, 3.242815, 3.2639139, 3.4575787, 3.5990114, 3.6975701, 3.7049277, 3.712137, 3.8180933, 3.8732998, 3.902858, 3.9114044, 3.9392402, 3.9673505, 3.9951007, 4.0154958, 4.0305095, 4.0860829, 4.0970168, 4.1847138, 4.3820596, 4.4943581, 4.5157452, 4.5406036, 4.6179466, 4.7519169, 4.9278288, 4.9709845, 4.9872384, 5.0639892, 5.1217732, 5.158164, 5.172061, 5.1990471, 5.1994081, 5.3292923, 5.4245801, 5.4597983, 5.4615397, 5.5321865, 5.5462737, 5.7193894, 5.9030108, 5.9498892, 6.1390915, 6.1580939, 6.1837254, 6.2740755, 6.3407269, 6.3873334, 6.4634056, 6.7283125, 6.9643688, 7.6853881, 7.7908449, 7.8231502, 7.9942017, 8.3581619, 8.8633242, 10.782386, 12.54353]",www.pubmed.com/18842628,"MADS-box transcription factor involved in osmotic stress response; SMP1 has a paralog, RLM1, that arose from the whole genome duplication"
S000002264,YDL106C,PHO2,99.0,500.672031164,5.05729324408,"[0.54377317, 1.3115997, 1.3115997, 1.3115997, 1.659523, 1.659523, 1.659523, 2.6349211, 2.9013252, 3.0548244, 3.2442129, 3.2442129, 3.2442129, 3.2442129, 3.2442129, 3.2442129, 3.2492485, 3.2492485, 3.4027476, 3.4027476, 3.4182422, 3.5921361, 3.5921361, 3.5921361, 3.5921361, 3.5921361, 3.5921361, 3.6691518, 3.7661657, 4.0120397, 4.0120397, 4.0170751, 4.0170751, 4.0170751, 4.0170751, 4.0170751, 4.0170751, 4.186069, 4.3599629, 4.3599629, 4.3599629, 4.3599629, 4.3599629, 4.3599629, 4.3599629, 4.3599629, 4.5339923, 4.5339923, 4.5339923, 4.6445498, 4.6445498, 4.9874377, 4.9874377, 4.9924731, 5.1614671, 5.1614671, 5.335361, 5.335361, 5.7552643, 5.7552643, 5.7602997, 5.7602997, 5.7602997, 5.7757945, 6.1031876, 6.1031876, 6.1031876, 6.1031876, 6.1031876, 6.1186819, 6.1186819, 6.1186819, 6.1186819, 6.1237178, 6.1237178, 6.1237178, 6.4666052, 6.8865085, 6.8915443, 6.8915443, 6.8915443, 7.2344317, 7.5190191, 7.5190191, 7.8619065, 7.8619065, 7.8619065, 7.8619065, 7.8619065, 7.8619065, 7.8669424, 8.2098303, 8.2098303, 8.2098303, 8.2868452, 8.6297331, 8.6347685, 8.9776564, 8.9776564]",www.pubmed.com/19111667,Homeobox transcription factor; regulatory targets include genes involved in phosphate metabolism; binds cooperatively with Pho4p to the PHO5 promoter; phosphorylation of Pho2p facilitates interaction with Pho4p; relocalizes to the cytosol in response to hypoxia
S000004395,YLR403W,SFP1,153.0,482.609707281,3.15431181229,"[0.027688656, 0.060782317, 0.06637378, 0.091216512, 0.092579663, 0.11787881, 0.16411752, 0.19312212, 0.19590542, 0.20408334, 0.24106239, 0.27289546, 0.29504734, 0.3055729, 0.33013552, 0.34772614, 0.35848126, 0.41213939, 0.48462269, 0.52981794, 0.5931977, 0.68101746, 0.69284636, 0.72371149, 0.78290212, 0.78730172, 0.7895332, 0.81768769, 0.83345342, 0.85827583, 0.8959983, 0.90710354, 0.91060859, 0.93439901, 0.95274514, 0.96204072, 0.96777147, 1.0248297, 1.0739334, 1.127133, 1.1360041, 1.1719824, 1.2289362, 1.3463398, 1.3909, 1.4241011, 1.478435, 1.4853518, 1.5078706, 1.5100366, 1.5152469, 1.5828521, 1.6883529, 1.6909359, 1.7482613, 1.7960525, 1.8082592, 1.8181856, 1.8183713, 1.8345376, 1.8718981, 1.9270084, 1.9370254, 1.9663024, 1.9752407, 2.0738277, 2.1365075, 2.1761043, 2.2145834, 2.2174089, 2.2336285, 2.2696595, 2.2703881, 2.281868, 2.340363, 2.4072151, 2.4963593, 2.5332017, 2.5849183, 2.6074133, 2.6124933, 2.6440129, 2.6777639, 2.7145138, 2.7881625, 2.8357677, 2.9804165, 2.9899035, 3.0742648, 3.0869839, 3.1851215, 3.1941161, 3.2705138, 3.2918634, 3.3621345, 3.5222907, 3.5671546, 3.8135753, 3.9121766, 4.0028296, 4.1337414, 4.1673341, 4.2771554, 4.3218722, 4.4910135, 4.5131125, 4.5328422, 4.5932274, 4.6295042, 4.7018371, 4.7543659, 4.7964096, 4.862761, 4.9444332, 4.9542198, 4.9791436, 5.0309591, 5.0690303, 5.1126904, 5.1444988, 5.2043195, 5.2181764, 5.2261906, 5.3101807, 5.3146033, 5.4593825, 5.6015983, 5.8438115, 5.8776865, 5.9838772, 6.0119762, 6.2308512, 6.3222299, 6.3902893, 6.5014653, 6.5033445, 6.7370458, 6.8119297, 6.9544511, 7.0129962, 7.3863058, 7.4160748, 7.4613671, 7.5071058, 7.8115602, 8.1082773, 8.2154455, 8.2411919, 8.3573446, 8.5789423, 8.6767874, 8.9581432, 10.228871]",www.pubmed.com/18842628,"Regulates transcription of ribosomal protein and biogenesis genes; regulates response to nutrients and stress, G2/M transitions during mitotic cell cycle and DNA-damage response, and modulates cell size; regulated by TORC1 and Mrs6p; sequence of zinc finger, ChIP localization data, and protein-binding microarray (PBM) data, and computational analyses suggest it binds DNA directly at highly active RP genes and indirectly through Rap1p at others; can form the [ISP+] prion"
S000002718,YDR310C,SUM1,62.0,348.060207471,5.61387431405,"[0.089968011, 0.31516933, 0.5682655, 0.77288324, 0.94299847, 0.97413242, 1.2527866, 1.6500559, 2.2126703, 2.2610135, 2.4026322, 2.4901476, 2.8006668, 2.8212461, 3.0540485, 3.4160111, 3.4284253, 3.5592306, 3.9923263, 4.2695546, 4.2827449, 4.3437247, 4.3805194, 4.4636321, 4.6371679, 4.7170134, 4.8880591, 5.1157088, 5.1362882, 5.1883192, 5.1911144, 5.7362323, 5.9283285, 5.9923263, 6.0114412, 6.3001332, 6.3207126, 6.3678403, 6.6141362, 6.663518, 6.7681713, 7.0304613, 7.0517111, 7.7009926, 7.9156494, 8.0308046, 8.0434847, 8.1607304, 8.2148857, 8.2405758, 8.6828814, 8.8539276, 8.9153252, 9.0816193, 9.0816193, 9.4250002, 9.8442745, 9.8914022, 10.687634, 11.33971, 11.33971, 12.206444]",www.pubmed.com/19111667,"Transcriptional repressor that regulates middle-sporulation genes; required for mitotic repression of middle sporulation-specific genes; also acts as general replication initiation factor; involved in telomere maintenance, chromatin silencing; regulated by pachytene checkpoint"
S000000661,YCR065W,HCM1,83.0,277.616336923,3.34477514365,"[0.02847782, 0.02847782, 0.057038851, 0.13580717, 0.20569105, 0.24683848, 0.32049552, 0.55327243, 0.61385447, 0.63447207, 0.68923515, 0.70192462, 0.81168526, 0.8444674, 0.86508495, 0.89891517, 1.0207855, 1.049848, 1.1032476, 1.1238222, 1.1643764, 1.2062844, 1.3008934, 1.3204955, 1.3299558, 1.5245519, 1.7027962, 1.8727212, 1.9029469, 2.0825739, 2.1899114, 2.2508702, 2.2723737, 2.4226882, 2.5058057, 2.5215178, 2.5713406, 2.5791495, 2.5791495, 2.632549, 2.7027962, 2.8501406, 2.8568645, 2.9192638, 2.9311743, 3.0463207, 3.1899114, 3.3396795, 3.4482234, 3.808399, 3.808399, 3.9162297, 4.1073661, 4.1655416, 4.227386, 4.227386, 4.5250454, 4.6035995, 4.6035995, 4.7496777, 4.7726388, 4.8648162, 4.8823996, 4.9447989, 5.0920796, 5.0920796, 5.1231279, 5.1231279, 5.801208, 5.8903513, 6.0825739, 6.4190607, 6.5620718, 6.6197038, 6.6197038, 6.6197038, 6.8903513, 7.5309782, 7.9437509, 8.7068281, 8.9976053, 10.342495, 10.801486]",www.pubmed.com/19111667,"Forkhead transcription factor; drives S-phase activation of genes involved in chromosome segregation, spindle dynamics, budding; also activates genes involved in respiration, use of alternative energy sources (like proline), NAD synthesis, oxidative stress resistance; key factor in early adaptation to nutrient deficiency and diauxic shift; suppressor of calmodulin mutants with specific SPB assembly defects; ortholog of C. elegans lifespan regulator PHA-4"
S000004003,YLR013W,GAT3,95.0,209.18979789,2.20199787253,"[0.00086058734, 0.05875897, 0.10492539, 0.14851946, 0.21514051, 0.23213394, 0.23337376, 0.26215532, 0.27968895, 0.30260333, 0.318234, 0.32766026, 0.45142865, 0.47233403, 0.48882216, 0.49651656, 0.54313326, 0.54644883, 0.5496428, 0.56125933, 0.59573734, 0.65165776, 0.68977404, 0.73139954, 0.78918993, 0.89437217, 0.92161155, 0.92298102, 1.0440043, 1.1859941, 1.1986892, 1.2446719, 1.2695348, 1.2984401, 1.3146228, 1.3968725, 1.4065453, 1.4431375, 1.4712886, 1.4716402, 1.4963795, 1.5020547, 1.6008158, 1.6540579, 1.6587472, 1.6769804, 1.7176409, 1.7257533, 1.8594148, 1.8866777, 1.9235451, 1.953792, 1.9983231, 2.0416043, 2.0489492, 2.0572965, 2.2278357, 2.256969, 2.2618814, 2.5085077, 2.5507283, 2.6155705, 2.7054048, 2.7618406, 2.7859149, 3.0142279, 3.081342, 3.2493153, 3.2734571, 3.2961771, 3.3926597, 3.4876688, 3.5167282, 3.5237288, 3.5402169, 3.5915368, 3.8537302, 3.9279337, 4.0394888, 4.0729756, 4.1251793, 4.2503858, 4.2720356, 4.3044839, 4.3686142, 4.671442, 4.7477798, 4.8507657, 4.8818393, 5.1160636, 5.1243777, 5.4331126, 5.6928053, 6.8919315, 7.5853047]",www.pubmed.com/19111667,"Protein containing GATA family zinc finger motifs; involved in spore wall assembly; sequence similarity to GAT4, and the double mutant gat3 gat4 exhibits reduced dityrosine fluorescence relative to the single mutants"
S000005666,YOR140W,SFL1,80.0,206.678359862,2.58347949828,"[0.045045309, 0.054656442, 0.12472353, 0.18295644, 0.18918754, 0.20065475, 0.20098798, 0.20883717, 0.30319703, 0.34216264, 0.49120271, 0.49778396, 0.5109598, 0.53125221, 0.53834772, 0.56811905, 0.56984937, 0.61184514, 0.67712289, 0.70770437, 0.7588256, 0.88204938, 0.9598487, 0.97627634, 1.0442919, 1.1345407, 1.1505793, 1.1720223, 1.2396775, 1.3261288, 1.3403491, 1.4560738, 1.5611984, 1.5682262, 1.6437953, 1.7731642, 1.8617926, 1.9714152, 1.9933362, 1.9940796, 2.0144756, 2.0528271, 2.1216524, 2.1999722, 2.3495827, 2.3917775, 2.5185997, 2.5625157, 2.5891409, 2.6565249, 2.6827228, 2.7132432, 2.8418045, 2.9286218, 2.9802568, 2.9924593, 3.1153367, 3.2741101, 3.3233514, 3.3736656, 3.4580934, 3.4730368, 3.5409019, 3.9045537, 3.9487846, 4.0531287, 4.073185, 4.1811519, 4.6445017, 5.3267717, 5.4806695, 6.4029331, 6.7099714, 7.2190866, 7.3276076, 7.4516115, 7.7771168, 8.1332617, 8.7365265, 11.788558]",www.pubmed.com/18842628,"Transcriptional repressor and activator; involved in repression of flocculation-related genes, and activation of stress responsive genes; negatively regulated by cAMP-dependent protein kinase A subunit Tpk2p; premature stop codon (C1430T, Q477-stop) in SK1 background is linked to the aggressively invasive phenotype of SK1 relative to BY4741 (S288C)"
S000005942,YPL021W,ECM23,87.0,203.272834372,2.3364693606,"[0.024223205, 0.10562921, 0.13741328, 0.14875558, 0.15097341, 0.19213645, 0.22592343, 0.23743811, 0.24274114, 0.28459933, 0.28542444, 0.31178418, 0.36044312, 0.40695405, 0.45204714, 0.64088762, 0.65917027, 0.79399496, 0.8129003, 0.82022381, 0.88349307, 0.99919397, 1.0299299, 1.0361959, 1.1173326, 1.1761494, 1.19244, 1.2398896, 1.2901982, 1.3301352, 1.4067377, 1.4584075, 1.4994625, 1.5150694, 1.5327185, 1.5632306, 1.6022993, 1.609226, 1.6166904, 1.6852887, 1.7694384, 1.8173579, 1.8231413, 1.8885186, 1.9692893, 1.9877377, 2.0682101, 2.0686173, 2.1136096, 2.1983764, 2.223592, 2.3450503, 2.4043915, 2.437315, 2.4690239, 2.5622647, 2.6405902, 2.664712, 2.6683385, 2.7103028, 2.764817, 2.7786703, 2.8395302, 2.9953105, 3.0410409, 3.1982365, 3.3880026, 3.8019471, 3.8661423, 4.2100968, 4.4240456, 4.4475961, 4.5753546, 4.5934253, 4.671483, 4.7289348, 4.7881727, 4.8642588, 5.2948933, 5.3048449, 5.4865103, 5.6037312, 5.6142459, 5.7929668, 5.8321705, 6.3877344, 9.071043]",www.pubmed.com/19111667,"Non-essential protein of unconfirmed function; affects pre-rRNA processing, may act as a negative regulator of the transcription of genes involved in pseudohyphal growth; homologous to Srd1p"
