,Gene Feature Name,Common Name,Number of Hits,Total Sum of Scores,Avg. Score per Hit,List of Scores,Gene Description
S000003254,YGR022C,,41.0,118.875630569,2.89940562363,"[0.035514265, 0.037974559, 0.053794939, 0.20575854, 0.26522917, 0.34075364, 0.77960557, 0.86397463, 0.99193513, 1.0053333, 1.3041481, 1.3041481, 1.3374852, 1.799222, 1.9747046, 2.1396842, 2.1493349, 2.2695196, 2.3555582, 2.5598197, 2.6882579, 2.7614217, 2.8521969, 2.9410541, 2.991935, 3.0769396, 3.1313488, 3.3591108, 3.6922927, 3.823163, 3.9075997, 4.3395095, 4.3937855, 4.4548202, 4.7937684, 5.0583649, 5.3600502, 6.7508192, 6.9121633, 8.3562241, 9.4573069]","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; overlaps almost completely with the verified ORF MTL1/YGR023W"
S000000151,YBL055C,,17.0,109.715849102,6.45387347656,"[0.28522271, 1.20293, 1.3557261, 1.5424525, 2.4546351, 2.5673826, 3.7678154, 4.2360177, 5.6436677, 5.9741035, 9.0925808, 9.218956, 10.783166, 10.831114, 11.685, 12.030867, 17.044212]",3'-->5' exonuclease and endonuclease with a possible role in apoptosis; has similarity to mammalian and C. elegans apoptotic nucleases
S000001352,YIL090W,ICE2,18.0,99.5269094706,5.52927274836,"[0.6805793, 2.0986702, 2.4258206, 2.580564, 2.5904183, 2.7415993, 2.944159, 3.3393009, 3.4121144, 3.4564059, 4.1781049, 5.0841608, 5.4635339, 7.1844149, 7.3695469, 12.947427, 13.582047, 17.448042]",Integral ER membrane protein with type-III transmembrane domains; required for maintenance of ER zinc homeostasis; necessary for efficient targeting of Trm1p tRNA methyltransferase to inner nuclear membrane; mutations cause defects in cortical ER morphology in both the mother and daughter cells
S000005006,YNL062C,GCD10,19.0,93.8997649848,4.94209289394,"[0.10252766, 0.11384018, 0.25245491, 0.56740505, 0.86419713, 1.1483113, 1.3842224, 3.3081756, 3.4617949, 3.9466567, 4.0668068, 5.1810789, 5.2188864, 5.2217965, 6.129909, 8.0542831, 12.915196, 14.19233, 17.769892]","Subunit of tRNA (1-methyladenosine) methyltransferase with Gcd14p; required for the modification of the adenine at position 58 in tRNAs, especially tRNAi-Met; first identified as a negative regulator of GCN4 expression"
S000003932,YLL009C,COX17,18.0,93.3457106352,5.18587281307,"[0.74448109, 0.91566992, 1.460939, 1.5709403, 1.8232594, 1.9565077, 2.3041327, 2.4964221, 2.8567805, 3.514158, 3.842797, 4.5450678, 6.1953192, 8.1054735, 8.4005384, 12.230268, 13.277365, 17.105591]","Copper metallochaperone that transfers copper to Sco1p and Cox11p; eventual delivery to cytochrome c oxidase; contains twin cysteine-x9-cysteine motifs; interacts with the MICOS complex, and interaction is promoted by copper ions; human homolog COX17 partially complements yeast null mutant"
S000000150,YBL054W,TOD6,19.0,92.0334986709,4.8438683511,"[0.056099799, 0.28522271, 0.52955663, 0.69349962, 1.0406154, 1.20293, 1.3557261, 1.5424525, 2.4546351, 2.5673826, 3.7678154, 4.2360177, 5.6436677, 5.9741035, 9.0925808, 10.831114, 11.685, 12.030867, 17.044212]",PAC motif binding protein involved in rRNA and ribosome biogenesis; subunit of the RPD3L histone deacetylase complex; Myb-like HTH transcription factor; hypophosphorylated by rapamycin treatment in a Sch9p-dependent manner; activated in stochastic pulses of nuclear localization
S000002271,YDL113C,ATG20,13.0,89.8020724058,6.90785172352,"[1.4826814, 2.6467736, 3.857347, 4.4387159, 4.941092, 6.3541942, 6.6522274, 7.3964376, 8.9021549, 9.9066801, 10.586484, 11.207397, 11.429888]",Sorting nexin family member; required for the cytoplasm-to-vacuole targeting (Cvt) pathway and for endosomal sorting; has a Phox homology domain that binds phosphatidylinositol-3-phosphate; interacts with Snx4p; potential Cdc28p substrate
S000002309,YDL150W,RPC53,24.0,85.9108216092,3.57961756705,"[0.049653091, 0.23498331, 0.34673712, 0.72010833, 0.76674443, 0.81573576, 0.9841007, 1.8645688, 2.3722167, 2.590451, 2.6011748, 2.8812957, 2.936832, 2.9557009, 2.9862373, 3.0945778, 3.2793655, 3.4138002, 4.1512213, 5.604599, 7.1369061, 9.3925161, 10.446347, 14.284948]",RNA polymerase III subunit C53
S000005852,YOR325W,,15.0,83.3838004172,5.55892002781,"[0.25801113, 0.73843545, 0.93182617, 1.1368948, 2.6856854, 3.6182146, 4.1689873, 6.153688, 6.482779, 6.7051072, 7.0539932, 8.7876101, 10.245551, 11.016662, 13.400355]","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps the verified ORF FRT1"
S000002221,YDL063C,SYO1,13.0,82.1537583359,6.31951987199,"[0.030879546, 0.7290712, 0.77916479, 0.90868908, 1.8034106, 2.607439, 6.1216574, 6.4883595, 11.911276, 11.911276, 11.911276, 12.578856, 14.372404]",Transport adaptor or symportin; facilitates synchronized nuclear coimport of the two 5S-rRNA binding proteins Rpl5p and Rpl11p; binds to nascent Rpl5p during translation; required for biogenesis of the large ribosomal subunit; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus
