,TF Feature Name,TF Common Name,Number of Hits,Total Sum of Scores,Avg. Score per Hit,List of Scores,Medline,TF Description
S000002157,YBR089C-A,NHP6B,230.0,670.429852482,2.9149124021,"[0.05329505, 0.060608864, 0.069020361, 0.074586727, 0.076585434, 0.088893004, 0.10578413, 0.11270609, 0.12376741, 0.12801167, 0.12992549, 0.1300775, 0.13026994, 0.14296262, 0.17416264, 0.19776645, 0.19874063, 0.20333436, 0.22012854, 0.22244525, 0.25955373, 0.28914881, 0.31298152, 0.3342818, 0.34339017, 0.35387298, 0.36069649, 0.36617014, 0.3853817, 0.3868371, 0.41045219, 0.41121766, 0.44347998, 0.4566282, 0.46086803, 0.4855065, 0.48570064, 0.50491834, 0.50539631, 0.52023607, 0.54108214, 0.54425371, 0.55095363, 0.60557574, 0.60998315, 0.61823094, 0.62575233, 0.64671814, 0.66232777, 0.68356329, 0.69776732, 0.70297998, 0.7316317, 0.74697691, 0.75397319, 0.76909178, 0.78416187, 0.8070724, 0.80875832, 0.83178234, 0.83295155, 0.85176331, 0.87964284, 0.88012159, 0.88150936, 0.88229448, 0.88737929, 0.97651607, 1.0031261, 1.0448782, 1.0600828, 1.0792537, 1.0890909, 1.0963801, 1.0969989, 1.1012037, 1.1067084, 1.1192852, 1.142615, 1.1508209, 1.1554996, 1.1824086, 1.2089221, 1.2267189, 1.2343446, 1.2541471, 1.2791724, 1.317917, 1.378, 1.4207048, 1.4423141, 1.4552484, 1.4623001, 1.5335158, 1.5729921, 1.5747288, 1.5860093, 1.5972168, 1.6875453, 1.7159225, 1.8405575, 1.842069, 1.8438642, 1.859432, 1.8655716, 1.8927529, 1.9349211, 1.9808469, 1.9892082, 2.0471139, 2.0484986, 2.1662054, 2.1666937, 2.2184188, 2.3377702, 2.3810136, 2.388886, 2.445657, 2.4626775, 2.4813676, 2.4906936, 2.5454316, 2.5585084, 2.6034377, 2.6222425, 2.6278746, 2.643656, 2.6741707, 2.7053227, 2.7721007, 2.788419, 2.8431017, 2.8710661, 2.8858273, 2.9209776, 2.9548309, 2.9756413, 2.9803722, 3.0026371, 3.0153873, 3.0466206, 3.0690584, 3.1252105, 3.1328785, 3.219548, 3.2239327, 3.2358396, 3.2538409, 3.2703071, 3.3098569, 3.3471, 3.373199, 3.3799062, 3.4093254, 3.4413412, 3.45327, 3.5036504, 3.5792522, 3.5818994, 3.5989435, 3.6945748, 3.6964123, 3.7215555, 3.8235984, 3.828954, 3.8952184, 3.9382682, 4.0516853, 4.2783661, 4.3084927, 4.3418407, 4.4095397, 4.4540997, 4.4771762, 4.5180602, 4.5801067, 4.7817254, 4.7929664, 4.8228259, 4.8406816, 4.8939261, 4.8954201, 4.926744, 4.9365931, 4.9582844, 5.0482502, 5.064652, 5.1752868, 5.2389565, 5.2887998, 5.2943325, 5.3048897, 5.3575149, 5.4013381, 5.4321513, 5.5624194, 5.6401119, 5.8237724, 5.8718333, 5.9866977, 6.1707325, 6.274323, 6.3330035, 6.4261112, 6.4726267, 6.6625896, 6.7349367, 6.7897153, 6.8496866, 6.9810586, 7.0253534, 7.1125875, 7.1360364, 7.1361589, 7.4488616, 7.4965143, 7.58988, 7.7012734, 8.2048273, 8.2165117, 8.6449223, 8.7281504, 8.9755344, 9.1156769, 9.5404778, 10.452059, 10.917356, 10.993643, 10.999331, 12.820909]",www.pubmed.com/18842628,"High-mobility group (HMG) protein; binds to and remodels nucleosomes; involved in recruiting FACT and other chromatin remodelling complexes to the chromosomes; functionally redundant with Nhp6Ap; required for transcriptional initiation fidelity of some tRNA genes; homologous to mammalian HMGB1 and HMGB2; NHP6B has a paralog, NHP6A, that arose from the whole genome duplication"
S000002264,YDL106C,PHO2,91.0,458.034864068,5.03335015459,"[0.54377317, 0.89169651, 0.89169651, 1.659523, 1.659523, 1.659523, 1.659523, 1.659523, 1.659523, 2.2869978, 2.6349211, 2.6349211, 2.9013252, 3.0548244, 3.2492485, 3.4182422, 3.5921361, 3.5921361, 3.5921361, 3.5921361, 3.5921361, 3.6691518, 3.6691518, 3.7661657, 3.7661657, 3.7661657, 4.0120397, 4.0120397, 4.0120397, 4.0120397, 4.0120397, 4.0120397, 4.0170751, 4.0170751, 4.0170751, 4.186069, 4.3599629, 4.3599629, 4.3599629, 4.3599629, 4.3599629, 4.3599629, 4.5339923, 4.6445498, 4.6445498, 4.9874377, 4.9874377, 4.9924731, 4.9924731, 5.335361, 5.5093904, 5.5093904, 5.7552643, 5.7552643, 5.7602997, 5.7602997, 5.7757945, 5.7757945, 5.9292936, 5.9292936, 6.1031876, 6.1031876, 6.1031876, 6.1031876, 6.1031876, 6.2772169, 6.2772169, 6.2772169, 6.4666052, 6.8865085, 6.8865085, 6.8915443, 7.2344317, 7.2344317, 7.2344317, 7.2344317, 7.5190191, 7.5190191, 7.5190191, 7.5190191, 7.5190191, 7.5190191, 7.8669424, 7.8669424, 8.2098303, 8.2868452, 8.2868452, 8.6297331, 8.6347685, 8.6347685, 8.9776564]",www.pubmed.com/19111667,Homeobox transcription factor; regulatory targets include genes involved in phosphate metabolism; binds cooperatively with Pho4p to the PHO5 promoter; phosphorylation of Pho2p facilitates interaction with Pho4p; relocalizes to the cytosol in response to hypoxia
S000006256,YPR052C,NHP6A,132.0,396.463021984,3.0035077423,"[0.0017504764, 0.024790598, 0.036903713, 0.061644536, 0.062503636, 0.065472886, 0.14941053, 0.17399646, 0.19507678, 0.22112273, 0.23343071, 0.3933616, 0.403687, 0.45262966, 0.46510005, 0.49742293, 0.51350141, 0.51594585, 0.53374952, 0.55767304, 0.55998802, 0.61597627, 0.63723993, 0.66013968, 0.69515234, 0.75712502, 0.77041817, 0.86311501, 0.86797351, 0.87648553, 0.93318087, 0.95514137, 1.0026371, 1.0308628, 1.0352764, 1.1167141, 1.2073541, 1.2171746, 1.2679874, 1.2812974, 1.2985475, 1.3407137, 1.356732, 1.3740731, 1.4056118, 1.4798124, 1.505242, 1.5296535, 1.5494027, 1.5659202, 1.655095, 1.6929449, 1.7031536, 1.7227907, 1.7260538, 1.7441084, 1.7700738, 1.84593, 1.8654716, 1.9115369, 2.0083132, 2.0126557, 2.0316234, 2.1084559, 2.1127064, 2.1633856, 2.183568, 2.3088889, 2.3183148, 2.3236818, 2.3940043, 2.4760137, 2.5425777, 2.6150405, 2.7344029, 2.8901415, 2.8954034, 2.904469, 2.9424546, 3.1250119, 3.204999, 3.3625612, 3.4551506, 3.4707453, 3.5547473, 3.5628922, 3.5899432, 3.595953, 3.6848924, 3.7526391, 3.7890704, 3.7928984, 3.8814397, 3.9028165, 3.9307299, 4.0725589, 4.3398333, 4.3477492, 4.3896089, 4.4950027, 4.5893474, 4.6332827, 4.9695764, 5.0258107, 5.103406, 5.1319518, 5.1522775, 5.1654873, 5.6012325, 5.7353301, 5.7595887, 5.843822, 5.9198737, 6.0284038, 6.1844792, 6.267591, 6.3484845, 6.3796344, 6.3987985, 6.6317315, 6.9266233, 7.281002, 7.4524546, 7.5507765, 7.8505549, 7.9961843, 8.5067673, 8.7365074, 9.2285624, 9.3859348, 10.38811, 11.068809]",www.pubmed.com/18842628,"High-mobility group (HMG) protein; binds to and remodels nucleosomes; involved in recruiting FACT and other chromatin remodelling complexes to chromosomes; functionally redundant with Nhp6Bp; required for transcriptional initiation fidelity of some tRNA genes; homologous to mammalian HMGB1 and HMGB2; NHP6A has a paralog, NHP6B, that arose from the whole genome duplication; protein abundance increases in response to DNA replication stress"
S000000386,YBR182C,SMP1,122.0,347.657255087,2.84964963186,"[0.035285015, 0.075301826, 0.1346844, 0.17494386, 0.21016139, 0.21452248, 0.2231963, 0.28968894, 0.30179411, 0.40928435, 0.41267979, 0.43960229, 0.55489695, 0.55771846, 0.55938101, 0.5834471, 0.68640655, 0.69247788, 0.69479901, 0.69710326, 0.70020396, 0.72393274, 0.72887623, 0.78163999, 0.78537124, 0.82431239, 0.86037618, 0.88516128, 0.89124072, 0.93259746, 0.99671948, 1.0201999, 1.0353674, 1.0724214, 1.1372608, 1.1463906, 1.1983211, 1.2915347, 1.2986053, 1.3223178, 1.3260586, 1.3344213, 1.3405311, 1.4144458, 1.4341563, 1.5280576, 1.5564277, 1.5718658, 1.5758829, 1.6165806, 1.6635505, 1.7104288, 1.7320169, 1.7410036, 1.8122934, 1.8409505, 1.8891152, 2.038383, 2.1603026, 2.1704764, 2.2782199, 2.3441963, 2.3814089, 2.4409089, 2.4493856, 2.4988842, 2.5356326, 2.538039, 2.5476322, 2.6482029, 2.6744432, 2.7310901, 2.9166927, 2.9306052, 2.9651411, 2.9708633, 2.9768476, 3.1193969, 3.3985856, 3.4820948, 3.5361447, 3.6085775, 3.7326448, 3.7861798, 3.8167999, 3.8367951, 3.8937476, 3.894587, 3.8983164, 3.9610643, 4.2806668, 4.2906013, 4.34233, 4.3534908, 4.3817444, 4.5290408, 4.5430532, 4.6325712, 4.7844987, 4.8712788, 5.0839276, 5.0847487, 5.1479778, 5.2194142, 5.3697662, 5.5856147, 5.6193838, 5.8152614, 5.852087, 6.0718031, 6.3577051, 6.3758068, 6.387095, 7.0384493, 7.47012, 7.5626082, 8.2598648, 8.4030914, 8.4571161, 8.5114107, 9.2906075, 9.853817]",www.pubmed.com/18842628,"MADS-box transcription factor involved in osmotic stress response; SMP1 has a paralog, RLM1, that arose from the whole genome duplication"
S000000661,YCR065W,HCM1,74.0,258.982409084,3.49976228492,"[0.021278786, 0.054559566, 0.16437633, 0.16437633, 0.27232423, 0.5174861, 0.55079317, 0.63670707, 0.6968714, 0.70192462, 0.7553243, 0.87520051, 0.89891517, 0.95166224, 0.98072469, 0.98100299, 1.0111632, 1.049848, 1.0952531, 1.1032476, 1.3008934, 1.3008934, 1.3330914, 1.5127183, 1.5174861, 1.5269464, 1.652532, 1.7553244, 1.8531747, 1.8906946, 1.8906946, 2.046814, 2.2256978, 2.2723737, 2.3008933, 2.3833556, 2.5713406, 2.5788076, 2.7701578, 3.0177515, 3.1851437, 3.1899114, 3.2226636, 3.3466525, 3.599355, 3.7549994, 3.7756729, 3.7756729, 3.8787098, 4.0463204, 4.0951138, 4.2764053, 4.3396797, 4.8823996, 4.9515228, 5.1766286, 5.1983237, 5.3049746, 5.3529716, 6.1206489, 6.6265607, 6.9437509, 6.9728131, 6.9770579, 8.6452389, 8.6452389, 8.6452389, 8.7925196, 8.7925196, 8.8083992, 9.144886, 9.6161766, 10.342495, 11.371063]",www.pubmed.com/19111667,"Forkhead transcription factor; drives S-phase activation of genes involved in chromosome segregation, spindle dynamics, budding; also activates genes involved in respiration, use of alternative energy sources (like proline), NAD synthesis, oxidative stress resistance; key factor in early adaptation to nutrient deficiency and diauxic shift; suppressor of calmodulin mutants with specific SPB assembly defects; ortholog of C. elegans lifespan regulator PHA-4"
S000002718,YDR310C,SUM1,54.0,257.866327919,4.77530236887,"[0.0047207251, 0.40041661, 0.56862164, 0.60503435, 0.73491538, 1.3644971, 1.4769912, 1.5380332, 1.7458037, 1.752933, 2.0585911, 2.2367661, 2.3736329, 2.5761685, 2.6197796, 2.7155714, 2.8005962, 2.9741323, 3.2250941, 3.3644969, 3.4401069, 3.5821531, 3.8997309, 3.9207819, 3.9214423, 4.2964454, 4.3068404, 4.3484764, 4.7154198, 4.7979546, 5.0441642, 5.1052065, 5.1052065, 5.1058669, 5.2693658, 5.5011067, 5.7604799, 5.7811298, 5.8971949, 6.0675797, 6.0732675, 6.6001706, 7.2008462, 7.5401359, 7.8479428, 8.2160587, 8.5677261, 8.7245598, 9.1438351, 9.9871941, 10.230691, 10.639271, 11.823695, 12.267486]",www.pubmed.com/19111667,"Transcriptional repressor that regulates middle-sporulation genes; required for mitotic repression of middle sporulation-specific genes; also acts as general replication initiation factor; involved in telomere maintenance, chromatin silencing; regulated by pachytene checkpoint"
S000004395,YLR403W,SFP1,85.0,255.112146228,3.00131936738,"[0.0043888371, 0.011189129, 0.012420517, 0.018654153, 0.089508235, 0.091483347, 0.14445622, 0.17058583, 0.17615391, 0.21840784, 0.42759216, 0.47130263, 0.49486053, 0.62773478, 0.63020563, 0.72402936, 0.77536696, 0.80609626, 0.90886676, 0.90958184, 0.94575125, 1.0506406, 1.058972, 1.0989387, 1.22373, 1.3096452, 1.3772677, 1.4246325, 1.6422933, 1.6767602, 1.6790658, 1.6837983, 1.7281951, 1.7679341, 1.7902552, 1.8848191, 1.8884836, 1.9533805, 1.9558387, 2.014262, 2.0168748, 2.0231392, 2.1211634, 2.2531023, 2.2918041, 2.3333101, 2.4471114, 2.4620926, 2.4630353, 2.5056431, 2.5293155, 2.5950944, 2.6810164, 2.8728051, 3.2588499, 3.535815, 3.6617889, 3.7435133, 3.8026562, 3.9024911, 3.9057338, 3.9190114, 4.0004063, 4.197794, 4.3264766, 4.3486681, 4.3842883, 4.6676064, 4.8292394, 5.0597868, 5.2188425, 5.7735353, 5.9049563, 6.0753708, 6.4350085, 6.569788, 6.8842015, 6.9558086, 8.1646576, 8.2262926, 9.8052683, 9.9517078, 10.006782, 10.056384, 11.076361]",www.pubmed.com/18842628,"Regulates transcription of ribosomal protein and biogenesis genes; regulates response to nutrients and stress, G2/M transitions during mitotic cell cycle and DNA-damage response, and modulates cell size; regulated by TORC1 and Mrs6p; sequence of zinc finger, ChIP localization data, and protein-binding microarray (PBM) data, and computational analyses suggest it binds DNA directly at highly active RP genes and indirectly through Rap1p at others; can form the [ISP+] prion"
S000005666,YOR140W,SFL1,70.0,204.805176829,2.92578824041,"[0.014370591, 0.044656429, 0.071543634, 0.1350009, 0.22237246, 0.28175113, 0.34732053, 0.43113109, 0.55414975, 0.58185619, 0.61125296, 0.64860636, 0.65911639, 0.73564619, 0.78868306, 0.81034124, 0.82660097, 0.86732423, 0.88142103, 0.91305465, 0.99527597, 1.0226878, 1.2722439, 1.2736652, 1.3185338, 1.3619514, 1.3793937, 1.5842413, 1.5894291, 1.6112778, 1.6293234, 1.769426, 1.9163054, 2.0334976, 2.0458355, 2.0919878, 2.2655094, 2.3134291, 2.4910817, 2.657465, 2.7083688, 2.7281444, 2.8881953, 2.910511, 3.1967468, 3.2582176, 3.3145144, 3.4149435, 3.4519479, 4.0134087, 4.1352654, 4.1610899, 4.3373685, 4.4117918, 4.5400062, 4.7131796, 4.9939318, 4.9971795, 5.1770434, 5.53126, 5.8607187, 6.1841545, 6.6933517, 7.3575654, 7.4112711, 7.6780195, 8.0702534, 8.4950438, 10.194398, 12.928526]",www.pubmed.com/18842628,"Transcriptional repressor and activator; involved in repression of flocculation-related genes, and activation of stress responsive genes; negatively regulated by cAMP-dependent protein kinase A subunit Tpk2p; premature stop codon (C1430T, Q477-stop) in SK1 background is linked to the aggressively invasive phenotype of SK1 relative to BY4741 (S288C)"
S000005942,YPL021W,ECM23,70.0,164.847161952,2.35495945646,"[0.041863386, 0.060437143, 0.061349809, 0.14476062, 0.16090162, 0.1861576, 0.21034898, 0.25871956, 0.26785478, 0.30028853, 0.31216884, 0.38309979, 0.49711198, 0.5135746, 0.70604724, 0.71473169, 0.72628444, 0.78418106, 0.86354619, 1.0264899, 1.1801198, 1.2122486, 1.2447824, 1.3122443, 1.4158872, 1.4487798, 1.525635, 1.5377231, 1.5438566, 1.6792269, 1.7572038, 1.8565539, 1.9368274, 1.9490168, 1.9665388, 2.0042384, 2.0557685, 2.0605793, 2.1144705, 2.1653922, 2.3104424, 2.3232799, 2.3377793, 2.3590899, 2.6780107, 2.7338405, 2.8343441, 2.8579998, 2.9223683, 3.0022781, 3.0936315, 3.2541203, 3.4806519, 3.5974822, 3.6813731, 3.718353, 3.7382054, 3.8149712, 4.212182, 4.3153391, 4.5045805, 4.729723, 4.9433103, 4.9693537, 5.154964, 5.401463, 6.0306997, 7.4170928, 7.4259348, 8.8172865]",www.pubmed.com/19111667,"Non-essential protein of unconfirmed function; affects pre-rRNA processing, may act as a negative regulator of the transcription of genes involved in pseudohyphal growth; homologous to Srd1p"
S000004003,YLR013W,GAT3,79.0,151.920908579,1.92304947568,"[0.0014338115, 0.021284265, 0.05875897, 0.064910106, 0.065564148, 0.087017231, 0.13821653, 0.1438631, 0.23662023, 0.2469444, 0.25864655, 0.30373442, 0.31878877, 0.34321237, 0.42170796, 0.42402866, 0.42857155, 0.56222403, 0.60600567, 0.62635434, 0.67336094, 0.70314127, 0.70671958, 0.75745237, 0.75944257, 0.77195197, 0.78560346, 0.88667774, 0.91216648, 0.95318466, 1.0845767, 1.1085061, 1.1151447, 1.1161902, 1.2493153, 1.2695348, 1.291068, 1.3030214, 1.3786392, 1.3913343, 1.4419603, 1.4736594, 1.5255626, 1.5272589, 1.5704751, 1.6186906, 1.6244514, 1.6415653, 1.642873, 1.6934992, 1.8772174, 1.9279338, 1.9732628, 2.2278357, 2.2744522, 2.3461094, 2.4197869, 2.6510935, 2.6961889, 2.8855243, 2.9082444, 2.9614863, 2.9838541, 2.9906592, 3.3038714, 3.4292653, 3.7697294, 3.8177509, 3.888834, 4.2430835, 4.6546702, 4.6562796, 5.1023045, 5.3551102, 5.6440043, 5.8020973, 6.7859149, 7.2346992, 7.7747302]",www.pubmed.com/19111667,"Protein containing GATA family zinc finger motifs; involved in spore wall assembly; sequence similarity to GAT4, and the double mutant gat3 gat4 exhibits reduced dityrosine fluorescence relative to the single mutants"
