,TF Feature Name,TF Common Name,Number of Hits,Total Sum of Scores,Avg. Score per Hit,List of Scores,Medline,TF Description
S000002157,YBR089C-A,NHP6B,244.0,658.874955419,2.70030719434,"[0.004702609, 0.010508946, 0.037505697, 0.047212798, 0.053013977, 0.060631644, 0.060666658, 0.067966908, 0.076493002, 0.07741718, 0.081813574, 0.086699583, 0.087582663, 0.10124287, 0.12278944, 0.16690449, 0.17359836, 0.19709897, 0.25237605, 0.25696805, 0.26830083, 0.31958064, 0.32044217, 0.33141693, 0.33561048, 0.33995971, 0.34193799, 0.35452172, 0.36047533, 0.36270091, 0.37932986, 0.38990888, 0.49783093, 0.51336414, 0.52336645, 0.54829174, 0.55911607, 0.56701303, 0.56983662, 0.57356709, 0.58753169, 0.61864859, 0.62717766, 0.65145177, 0.65201408, 0.66882211, 0.68409538, 0.71670622, 0.72038138, 0.73658353, 0.73814929, 0.74885088, 0.75046575, 0.765863, 0.78656793, 0.78798389, 0.83193517, 0.84920871, 0.86288321, 0.86501998, 0.86710447, 0.920044, 0.95638883, 0.956734, 0.97815424, 0.98796159, 1.0011513, 1.00967, 1.0273039, 1.0493048, 1.0537012, 1.0767245, 1.0858598, 1.0899071, 1.1305695, 1.1666269, 1.2009325, 1.248952, 1.2522093, 1.2522101, 1.2575928, 1.2688669, 1.3032554, 1.3143003, 1.3268949, 1.3291886, 1.3427123, 1.3783319, 1.3808652, 1.3944483, 1.4042444, 1.4314497, 1.4486547, 1.4663488, 1.4764898, 1.486692, 1.5165604, 1.5200347, 1.5301734, 1.6067836, 1.6099925, 1.6227355, 1.632827, 1.6767118, 1.6856114, 1.7319242, 1.7634681, 1.8203127, 1.8241636, 1.8260083, 1.8291841, 1.831813, 1.8448538, 1.8616558, 1.912057, 1.962189, 1.9997971, 2.0132396, 2.0139647, 2.0174391, 2.0801265, 2.0923638, 2.0973969, 2.1193106, 2.1475174, 2.1777401, 2.2074161, 2.2148693, 2.214937, 2.2163503, 2.2229326, 2.2527583, 2.2806642, 2.320653, 2.3417947, 2.3634145, 2.3845677, 2.4192767, 2.433717, 2.5511012, 2.5976851, 2.6129963, 2.6467683, 2.676913, 2.6886408, 2.7589076, 2.78057, 2.8032222, 2.8033686, 2.8805344, 2.8952792, 2.9218204, 2.9263642, 2.9428737, 2.9617503, 2.9740384, 2.9858398, 3.084132, 3.1344686, 3.1391187, 3.139138, 3.1474142, 3.1724908, 3.1957099, 3.2288518, 3.2682385, 3.3390672, 3.3699036, 3.4264281, 3.4899046, 3.5152786, 3.6172123, 3.6528392, 3.7128828, 3.7381577, 3.745261, 3.7762065, 3.8641081, 3.8870659, 3.9616833, 4.0283451, 4.0538001, 4.1092982, 4.2369561, 4.2508221, 4.2718549, 4.3358669, 4.3937464, 4.4572353, 4.4952588, 4.5649748, 4.6293044, 4.6510711, 4.7721715, 4.7987232, 4.8330612, 4.8471537, 4.9728756, 4.9766221, 5.070971, 5.082386, 5.0873995, 5.1972275, 5.250102, 5.2764416, 5.3610806, 5.3981104, 5.4776492, 5.5560045, 5.6008635, 5.6188703, 5.7011032, 5.7222643, 5.855773, 5.9553113, 5.9805093, 6.0369649, 6.0742483, 6.0796418, 6.1325245, 6.1610003, 6.2353678, 6.3559284, 6.3886228, 6.4581184, 6.5381174, 6.5412068, 6.5563631, 6.6283035, 6.6296616, 6.646153, 6.8456993, 6.8727317, 7.2681055, 7.3418608, 7.3891382, 7.4230986, 7.6215777, 7.6743493, 7.9482074, 8.3631287, 8.3839827, 8.5088882, 9.1932631]",www.pubmed.com/18842628,"High-mobility group (HMG) protein; binds to and remodels nucleosomes; involved in recruiting FACT and other chromatin remodelling complexes to the chromosomes; functionally redundant with Nhp6Ap; required for transcriptional initiation fidelity of some tRNA genes; homologous to mammalian HMGB1 and HMGB2; NHP6B has a paralog, NHP6A, that arose from the whole genome duplication"
S000006256,YPR052C,NHP6A,142.0,333.104761206,2.34580817751,"[0.0010678279, 0.0031850124, 0.0099526569, 0.040029824, 0.054490399, 0.087418616, 0.12119623, 0.13763627, 0.18879189, 0.22228371, 0.22616468, 0.23593073, 0.24164271, 0.24934219, 0.27253437, 0.27515838, 0.27942958, 0.31115198, 0.31596595, 0.3212249, 0.3243328, 0.38299805, 0.43492618, 0.45023346, 0.47177735, 0.47543594, 0.52582985, 0.55344003, 0.5745241, 0.5800271, 0.58660626, 0.62965941, 0.64147538, 0.6877982, 0.69816858, 0.74454939, 0.82796752, 0.86272627, 0.86474633, 0.88332099, 0.88913089, 0.9424752, 1.0294478, 1.0893539, 1.1006124, 1.1343021, 1.1771973, 1.2006114, 1.2077376, 1.2154454, 1.3644594, 1.3770721, 1.4197357, 1.4498791, 1.5112619, 1.5180349, 1.5606869, 1.5768921, 1.5788044, 1.6283491, 1.6457452, 1.6778319, 1.7457864, 1.7575551, 1.7768427, 1.7796258, 1.7981524, 1.8405874, 1.9867675, 1.9972572, 2.0253878, 2.0476584, 2.1085486, 2.1378164, 2.155735, 2.1587083, 2.2037175, 2.2061946, 2.2767246, 2.2977343, 2.3024662, 2.4067833, 2.4323654, 2.4611845, 2.5520284, 2.565238, 2.577899, 2.5802212, 2.5848942, 2.5945439, 2.6316426, 2.6369209, 2.6410511, 2.7519701, 2.7689259, 2.7701812, 2.8599854, 2.8838916, 2.9498289, 3.0652711, 3.2070758, 3.2957408, 3.3045197, 3.3699086, 3.476223, 3.4943435, 3.5008924, 3.61482, 3.7382505, 3.8260171, 3.8331406, 3.9101353, 3.956898, 4.0369596, 4.0417519, 4.1895461, 4.2045474, 4.2199016, 4.3108993, 4.3373013, 4.3766685, 4.5049629, 4.53339, 4.6783876, 4.6883035, 4.7106295, 4.8184309, 4.8729143, 5.1442976, 5.2089067, 5.6026282, 5.7219691, 5.7480555, 5.7760067, 6.0124693, 6.0482268, 6.0836587, 6.4439416, 6.5409894, 6.6460872, 6.9923825, 7.6742816]",www.pubmed.com/18842628,"High-mobility group (HMG) protein; binds to and remodels nucleosomes; involved in recruiting FACT and other chromatin remodelling complexes to chromosomes; functionally redundant with Nhp6Bp; required for transcriptional initiation fidelity of some tRNA genes; homologous to mammalian HMGB1 and HMGB2; NHP6A has a paralog, NHP6B, that arose from the whole genome duplication; protein abundance increases in response to DNA replication stress"
S000005666,YOR140W,SFL1,92.0,327.241951957,3.55697773867,"[0.12414625, 0.13037452, 0.14679344, 0.18656422, 0.19402097, 0.27483127, 0.28054067, 0.33612335, 0.34542644, 0.50799841, 0.51668108, 0.65022987, 0.68146533, 0.7025975, 0.76964468, 0.86237699, 0.97157973, 0.99186969, 1.0012695, 1.0580729, 1.0651089, 1.1465188, 1.1965872, 1.243448, 1.2465768, 1.3355989, 1.454623, 1.4847851, 1.5482203, 1.5533848, 1.591619, 1.7356157, 1.7551634, 1.7860842, 1.8553008, 1.8798807, 2.2207854, 2.2631121, 2.3401179, 2.4257648, 2.4448011, 2.4971116, 2.7118864, 2.8055565, 2.8386266, 2.863482, 2.9071071, 2.9169011, 2.9503565, 3.1904716, 3.240802, 3.2954099, 3.3027213, 3.3937876, 3.4368081, 3.4454913, 3.5629809, 3.5864079, 3.8613913, 3.9302461, 4.0049295, 4.0134883, 4.066958, 4.1046309, 4.1927853, 4.3686004, 4.380054, 4.4446697, 4.7533836, 4.8689008, 4.9721322, 4.9963379, 5.2316895, 5.2698827, 5.3264318, 5.6970415, 5.6980047, 5.8888049, 6.4064994, 6.7989006, 7.4696217, 7.7209272, 8.5024042, 8.7906017, 9.5486479, 10.4936, 10.539658, 10.589879, 10.702669, 11.358521, 11.894963, 13.103085]",www.pubmed.com/18842628,"Transcriptional repressor and activator; involved in repression of flocculation-related genes, and activation of stress responsive genes; negatively regulated by cAMP-dependent protein kinase A subunit Tpk2p; premature stop codon (C1430T, Q477-stop) in SK1 background is linked to the aggressively invasive phenotype of SK1 relative to BY4741 (S288C)"
S000002264,YDL106C,PHO2,72.0,324.636382163,4.50883864115,"[0.89169651, 1.659523, 1.659523, 1.659523, 1.659523, 1.659523, 1.659523, 2.2869978, 2.6349211, 3.0548244, 3.0548244, 3.2442129, 3.4182422, 3.4182422, 3.5921361, 3.5921361, 3.5921361, 3.6691518, 3.7661657, 3.7661657, 4.0120397, 4.0170751, 4.0170751, 4.186069, 4.3599629, 4.3599629, 4.3599629, 4.3599629, 4.3599629, 4.3599629, 4.3599629, 4.3599629, 4.3599629, 4.3599629, 4.3599629, 4.3599629, 4.3599629, 4.3599629, 4.3599629, 4.3599629, 4.3599629, 4.3599629, 4.3599629, 4.3599629, 4.3599629, 4.3599629, 4.3599629, 4.3599629, 4.3599629, 4.3599629, 4.3599629, 4.5339923, 4.6445498, 5.1614671, 5.335361, 5.335361, 5.5093904, 5.7552643, 5.7602997, 6.1031876, 6.1237178, 6.2772169, 6.4666052, 6.8915443, 7.2344317, 7.2344317, 7.5190191, 7.8619065, 7.8669424, 7.8669424, 8.2868452, 8.9776564]",www.pubmed.com/19111667,Homeobox transcription factor; regulatory targets include genes involved in phosphate metabolism; binds cooperatively with Pho4p to the PHO5 promoter; phosphorylation of Pho2p facilitates interaction with Pho4p; relocalizes to the cytosol in response to hypoxia
S000004395,YLR403W,SFP1,77.0,282.034777017,3.66278931191,"[0.0007199262, 0.012912317, 0.016399186, 0.058341071, 0.1660324, 0.22825658, 0.2799927, 0.29562137, 0.43170848, 0.49978855, 0.50149518, 0.52913678, 0.55792296, 0.65748072, 0.690431, 0.85053766, 0.86070526, 0.90416968, 0.96712637, 1.1335466, 1.2119993, 1.2438239, 1.4752494, 1.5524774, 1.6491849, 1.6583101, 1.6737598, 1.6908153, 1.7199688, 1.7504582, 1.7901067, 1.9228084, 1.9561921, 2.0019205, 2.3138864, 2.3900886, 2.4364748, 2.5668609, 2.6643174, 2.9784815, 3.0206029, 3.1109746, 3.1179845, 3.1622043, 3.2247529, 3.4630971, 3.4731507, 3.5006397, 3.6448259, 3.7146418, 3.7513297, 3.82867, 3.9175563, 4.494483, 4.7542357, 4.7815614, 5.131928, 5.4937801, 5.9285312, 6.0082688, 6.1360908, 6.4528403, 6.9460983, 7.3374033, 7.4285154, 7.5505881, 8.5679045, 8.8054638, 8.8534613, 8.929698, 8.9773598, 9.6019192, 10.046606, 10.944974, 11.089629, 12.042786, 12.510712]",www.pubmed.com/18842628,"Regulates transcription of ribosomal protein and biogenesis genes; regulates response to nutrients and stress, G2/M transitions during mitotic cell cycle and DNA-damage response, and modulates cell size; regulated by TORC1 and Mrs6p; sequence of zinc finger, ChIP localization data, and protein-binding microarray (PBM) data, and computational analyses suggest it binds DNA directly at highly active RP genes and indirectly through Rap1p at others; can form the [ISP+] prion"
S000000661,YCR065W,HCM1,79.0,272.633223835,3.45105346627,"[0.056705046, 0.17662859, 0.20569105, 0.26386666, 0.33714676, 0.44448423, 0.5174861, 0.5174861, 0.5174861, 0.95039612, 1.0086758, 1.1613423, 1.3299558, 1.3330914, 1.4349406, 1.4772365, 1.4772365, 1.5174861, 1.5427713, 1.7701577, 1.8776616, 1.8906946, 1.9611225, 2.046814, 2.1332827, 2.1708026, 2.1899114, 2.1899114, 2.1923907, 2.2723737, 2.2723737, 2.5309782, 2.5713406, 2.5713406, 2.5713406, 2.6811011, 2.7471039, 2.9192638, 2.9192638, 2.9896917, 3.0753829, 3.1287827, 3.1993718, 3.2723737, 3.2723737, 3.2790976, 3.4277496, 3.4883237, 3.7956927, 3.808399, 3.9162297, 3.9162297, 4.1480594, 4.3021593, 4.7726388, 4.9447989, 4.9447989, 4.9447989, 4.9447989, 4.9447989, 4.9447989, 4.9447989, 4.9447989, 4.9447989, 4.9447989, 4.9447989, 4.9447989, 5.0545597, 5.801208, 6.1206489, 6.1206489, 6.27178, 6.8903513, 7.9315162, 8.0756617, 8.6161766, 9.698638, 10.801486, 11.371063]",www.pubmed.com/19111667,"Forkhead transcription factor; drives S-phase activation of genes involved in chromosome segregation, spindle dynamics, budding; also activates genes involved in respiration, use of alternative energy sources (like proline), NAD synthesis, oxidative stress resistance; key factor in early adaptation to nutrient deficiency and diauxic shift; suppressor of calmodulin mutants with specific SPB assembly defects; ortholog of C. elegans lifespan regulator PHA-4"
S000003130,YGL162W,SUT1,74.0,263.560658824,3.56163052464,"[0.037577827, 0.055165894, 0.20794749, 0.21990933, 0.33888471, 0.34920892, 0.53631306, 0.65893906, 0.69337434, 0.69940698, 0.71372741, 0.99794066, 1.1690018, 1.3159256, 1.3160821, 1.3317046, 1.3335273, 1.4709252, 1.5150042, 1.625648, 1.6318614, 1.6544286, 1.6612728, 1.6612728, 1.6790174, 1.7945642, 1.8051876, 2.1698687, 2.6053581, 2.6493664, 2.6552954, 2.9397771, 3.1590378, 3.2799463, 3.4241884, 3.4290392, 3.6078484, 3.624126, 3.7409832, 3.795187, 3.8116212, 3.9494221, 3.9862716, 4.2789903, 4.2806139, 4.2970481, 4.4484706, 4.5836992, 4.5953941, 4.7446356, 4.7780385, 4.9037976, 4.918118, 4.937201, 5.1246963, 5.1246963, 5.2299056, 5.4472637, 5.4508042, 5.5802603, 5.5817413, 5.9326906, 6.2073941, 6.5756073, 6.7244573, 6.7293086, 6.8803163, 6.8836198, 7.0412526, 7.397223, 7.526679, 7.5281601, 9.0210743, 9.5063448]",www.pubmed.com/16522208,"Zn(II)2Cys6 family transcription factor; positively regulates sterol uptake genes under anaerobic conditions; involved in hypoxic gene expression; represses filamentation-inducing genes during vegetative growth; positively regulates mating with SUT2 by repressing expression of genes that act as mating inhibitors; repressed by STE12; relocalizes from the nucleus to the cytoplasm upon DNA replication stress; SUT1 has a paralog, SUT2, that arose from the whole genome duplication"
S000000386,YBR182C,SMP1,112.0,240.008727373,2.14293506583,"[0.00083926611, 0.0017789457, 0.020058108, 0.053503044, 0.074362092, 0.099476106, 0.10702504, 0.1143718, 0.1403439, 0.18996458, 0.20130201, 0.20254254, 0.23639375, 0.23974787, 0.24630344, 0.30242568, 0.38469243, 0.38665098, 0.4164913, 0.44286504, 0.4607476, 0.48380885, 0.49023595, 0.55959213, 0.57473421, 0.57718241, 0.6090281, 0.639898, 0.66307199, 0.68814099, 0.698367, 0.73948497, 0.74612486, 0.86585742, 0.86789399, 0.89716786, 0.95997429, 0.96961862, 1.0111723, 1.0294189, 1.0540237, 1.0608152, 1.0888273, 1.1854448, 1.2602682, 1.2721258, 1.3032464, 1.3094478, 1.3714836, 1.3727077, 1.4364237, 1.5416609, 1.5840894, 1.6015781, 1.6671301, 1.684203, 1.7429887, 1.8552669, 1.8977376, 1.9199352, 1.9287857, 1.9669917, 1.9671223, 2.0398202, 2.1081135, 2.1385231, 2.1954827, 2.2279904, 2.2321749, 2.2347155, 2.237258, 2.3391438, 2.4373403, 2.5569296, 2.5592711, 2.5610855, 2.5918636, 2.679606, 2.6810927, 2.6997759, 2.7545116, 2.9106274, 2.9143724, 3.0064313, 3.09075, 3.1535313, 3.2039974, 3.2255189, 3.3031149, 3.3501899, 3.3900154, 3.559787, 3.6186373, 3.7208164, 3.9348893, 4.1360102, 4.2131968, 4.2956762, 4.3255525, 4.3677621, 4.5963478, 4.7700524, 5.2502937, 5.701086, 5.8460879, 5.8940206, 6.0686898, 6.2973118, 6.3501468, 6.4017687, 7.8052735, 10.567111]",www.pubmed.com/18842628,"MADS-box transcription factor involved in osmotic stress response; SMP1 has a paralog, RLM1, that arose from the whole genome duplication"
S000002214,YDL056W,MBP1,60.0,229.447025029,3.82411708382,"[0.017405985, 0.26692557, 0.40442911, 0.57420689, 0.60277605, 0.64216948, 0.68523824, 0.79744029, 1.1413947, 1.3791351, 1.5597073, 1.6445962, 1.6454372, 1.6454372, 1.7721462, 1.8831776, 1.8831776, 2.1438215, 2.2966728, 2.3397417, 2.3815618, 2.3824029, 2.5597074, 2.6015275, 3.0336385, 3.1007528, 3.1877387, 3.2966728, 3.3791351, 3.3815618, 3.5597074, 3.842242, 3.9247041, 4.256031, 4.2966728, 4.2966728, 4.2966728, 4.3690815, 4.3690815, 4.3856778, 5.14467, 5.1711421, 5.1776848, 5.214211, 5.3384929, 5.9797454, 6.0622077, 6.2129622, 6.716711, 6.8715816, 6.936677, 7.1040277, 7.1060472, 7.1776848, 7.2601471, 7.2866192, 7.4930701, 7.6736422, 7.8409934, 9.4524279]",www.pubmed.com/19111667,"Transcription factor; involved in regulation of cell cycle progression from G1 to S phase, forms a complex with Swi6p that binds to MluI cell cycle box regulatory element in promoters of DNA synthesis genes"
S000002711,YDR303C,RSC3,39.0,198.459091306,5.08869464886,"[0.51747668, 0.66252697, 0.90449977, 1.4084257, 1.4401345, 2.9740229, 2.9933882, 3.2519629, 3.2959509, 3.403966, 3.5052872, 3.5889978, 3.9109261, 3.9458599, 3.9784689, 4.1008968, 4.1544466, 4.2828946, 4.5414696, 4.6048231, 4.8483934, 5.1159725, 5.2610226, 5.5223608, 5.5942922, 5.9479294, 6.4333558, 6.9972568, 7.14926, 7.2028093, 7.6338205, 8.012332, 8.0447912, 8.0967922, 8.2216682, 8.662241, 9.0932522, 9.4468889, 9.7082272]",www.pubmed.com/19111667,"Component of the RSC chromatin remodeling complex; essential gene required for maintenance of proper ploidy and regulation of ribosomal protein genes and the cell wall/stress response; RSC3 has a paralog, RSC30, that arose from the whole genome duplication"
