,Gene Feature Name,Common Name,Number of Hits,Total Sum of Scores,Avg. Score per Hit,List of Scores,Gene Description
S000007276,Q0142,,25.0,190.060304642,7.60241218567,"[6.1779981, 6.1779981, 6.1779981, 6.1779981, 6.1779981, 6.1779981, 6.1779981, 6.1779981, 6.1779981, 6.1779981, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 9.2775335, 9.2775335, 9.2775335]","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps dubious open reading frame Q0143"
S000007277,Q0143,,23.0,177.70430851,7.72627428304,"[6.1779981, 6.1779981, 6.1779981, 6.1779981, 6.1779981, 6.1779981, 6.1779981, 6.1779981, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 9.2775335, 9.2775335, 9.2775335]","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"
S000000979,YER177W,BMH1,21.0,175.025784492,8.33456116631,"[6.1779981, 6.1779981, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 9.2775335, 9.2775335, 9.2775335, 9.2775335]","14-3-3 protein, major isoform; controls proteome at post-transcriptional level, binds proteins and DNA, involved in regulation of exocytosis, vesicle transport, Ras/MAPK and rapamycin-sensitive signaling, aggresome formation, spindle position checkpoint; protein increases in abundance and relative distribution to the nucleus increases upon DNA replication stress; antiapoptotic gene similar to human 14-3-3; BMH1 has a paralog, BMH2, that arose from whole genome duplication"
S000007328,TP(UGG)Q,,21.0,173.361163139,8.25529348283,"[6.1779981, 6.1779981, 6.1779981, 6.1779981, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 9.2775335, 9.2775335, 9.2775335, 9.2775335, 9.2775335, 9.2775335, 9.2775335]",Mitochondrial proline tRNA (tRNA-Pro)
S000003876,YJR115W,,21.0,171.926249027,8.18696423939,"[6.1779981, 6.1779981, 6.1779981, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 9.2775335, 9.2775335, 9.2775335]","Putative protein of unknown function; YJR115W has a paralog, ECM13, that arose from the whole genome duplication"
S000003874,YJR113C,RSM7,21.0,171.926249027,8.18696423939,"[6.1779981, 6.1779981, 6.1779981, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 9.2775335, 9.2775335, 9.2775335]",Mitochondrial ribosomal protein of the small subunit; has similarity to E. coli S7 ribosomal protein
S000007326,TM(CAU)Q2,,20.0,152.592377663,7.62961888313,"[6.1779981, 6.1779981, 6.1779981, 6.1779981, 6.1779981, 6.1779981, 6.1779981, 6.1779981, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 9.2775335, 9.2775335, 9.2775335]",Mitochondrial formylated methionine tRNA (tRNA-fMet); predicted by tRNAscan-SE analysis
S000007281,Q0250,COX2,20.0,146.014441013,7.30072205067,"[6.1779981, 6.1779981, 6.1779981, 6.1779981, 6.1779981, 6.1779981, 6.1779981, 6.1779981, 6.1779981, 6.1779981, 6.1779981, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 9.2775335, 9.2775335, 9.2775335]",Subunit II of cytochrome c oxidase (Complex IV); Complex IV is the terminal member of the mitochondrial inner membrane electron transport chain; one of three mitochondrially-encoded subunits
S000007334,TT(UGU)Q1,,17.0,138.443674564,8.14374556261,"[6.1779981, 6.1779981, 6.1779981, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 9.2775335, 9.2775335, 9.2775335]",Mitochondrial threonine tRNA (tRNA-Thr); predicted by tRNAscan-SE analysis
S000004568,YML101C,CUE4,15.0,122.23041153,8.14869410197,"[6.1779981, 6.1779981, 6.1779981, 6.1779981, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 9.2775335, 9.2775335, 9.2775335, 9.2775335, 9.2775335, 9.2775335]","Protein of unknown function; has a CUE domain that binds ubiquitin, which may facilitate intramolecular monoubiquitination; CUE4 has a paralog, CUE1, that arose from the whole genome duplication"
S000004566,YML100W,TSL1,13.0,108.588659763,8.35297382795,"[6.1779981, 6.1779981, 6.1779981, 8.3706436, 8.3706436, 8.3706436, 9.2775335, 9.2775335, 9.2775335, 9.2775335, 9.2775335, 9.2775335, 9.2775335]","Large subunit of trehalose 6-phosphate synthase/phosphatase complex; Tps1p-Tps2p complex converts uridine-5'-diphosphoglucose and glucose 6-phosphate to trehalose; contributes to survival to acute lethal heat stress; mutant has aneuploidy tolerance; protein abundance increases in response to DNA replication stress; TSL1 has a paralog, TPS3, that arose from the whole genome duplication"
S000001381,YIL119C,RPI1,13.0,107.53261137,8.27173933616,"[6.1779981, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 9.2775335]","Transcription factor, allelic differences between S288C and Sigma1278b; mediates fermentation stress tolerance by modulating cell wall integrity; overexpression suppresses heat shock sensitivity of wild-type RAS2 overexpression and also suppresses cell lysis defect of mpk1 mutation; allele from S288c can confer fMAPK pathway independent transcription of FLO11; S288C and Sigma1278b alleles differ in number of tandem repeats within ORF"
S000002180,YDL022W,GPD1,13.0,105.867990017,8.14369153976,"[6.1779981, 6.1779981, 6.1779981, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 8.3706436, 9.2775335, 9.2775335, 9.2775335, 9.2775335]","NAD-dependent glycerol-3-phosphate dehydrogenase; key enzyme of glycerol synthesis, essential for growth under osmotic stress; expression regulated by high-osmolarity glycerol response pathway; protein abundance increases in response to DNA replication stress; constitutively inactivated via phosphorylation by the protein kinases Ypk1p and Ypk2p, dephosphorylation increases catalytic activity; forms a heterodimer with Pnc1p to facilitate its peroxisomal import"
